data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-23,6639480.0,2.0,0.0,1.0,
2020-02-24,6639479.0,3.0,0.0,1.0,0.0
2020-02-25,6639478.0,4.0,0.0,1.0,3.0
2020-02-26,6639476.0,6.0,1.0,2.0,3.0
2020-02-27,6639473.0,8.0,1.0,3.0,2.0
2020-02-28,6639469.0,11.0,2.0,4.0,2.0
2020-02-29,6639464.0,15.0,3.0,5.0,2.0
2020-03-01,6639457.0,21.0,4.0,7.0,7.0
2020-03-02,6639446.0,30.0,6.0,10.0,5.0
2020-03-03,6639432.0,42.0,8.0,14.0,6.0
2020-03-04,6639413.0,57.0,12.0,19.0,18.0
2020-03-05,6639388.0,77.0,17.0,26.0,18.0
2020-03-06,6639356.0,102.0,23.0,34.0,27.0
2020-03-07,6639316.0,135.0,32.0,45.0,38.0
2020-03-08,6639265.0,175.0,43.0,58.0,62.0
2020-03-09,6639201.0,224.0,57.0,75.0,71.0
2020-03-10,6639122.0,285.0,75.0,95.0,80.0
2020-03-11,6639027.0,357.0,98.0,119.0,118.0
2020-03-12,6638913.0,443.0,126.0,148.0,150.0
2020-03-13,6638777.0,544.0,161.0,181.0,169.0
2020-03-14,6638616.0,662.0,204.0,221.0,197.0
2020-03-15,6638429.0,797.0,256.0,266.0,254.0
2020-03-16,6638213.0,951.0,319.0,317.0,308.0
2020-03-17,6637966.0,1124.0,393.0,375.0,341.0
2020-03-18,6637685.0,1318.0,480.0,439.0,399.0
2020-03-19,6637369.0,1532.0,581.0,511.0,525.0
2020-03-20,6637016.0,1767.0,699.0,589.0,667.0
2020-03-21,6636626.0,2022.0,834.0,674.0,779.0
2020-03-22,6636197.0,2297.0,988.0,766.0,923.0
2020-03-23,6635729.0,2590.0,1163.0,863.0,1024.0
2020-03-24,6635222.0,2901.0,1359.0,967.0,1194.0
2020-03-25,6634676.0,3228.0,1578.0,1076.0,1348.0
2020-03-26,6634093.0,3569.0,1820.0,1190.0,1557.0
2020-03-27,6633474.0,3920.0,2088.0,1307.0,1654.0
2020-03-28,6632820.0,4281.0,2380.0,1427.0,1811.0
2020-03-29,6632134.0,4649.0,2699.0,1550.0,1912.0
2020-03-30,6631418.0,5020.0,3045.0,1673.0,2030.0
2020-03-31,6630674.0,5391.0,3417.0,1797.0,2149.0
2020-04-01,6629907.0,5761.0,3815.0,1920.0,2219.0
2020-04-02,6629118.0,6125.0,4239.0,2042.0,2324.0
2020-04-03,6628312.0,6481.0,4690.0,2160.0,2408.0
2020-04-04,6627492.0,6825.0,5165.0,2275.0,2515.0
2020-04-05,6626661.0,7157.0,5664.0,2386.0,2589.0
2020-04-06,6625823.0,7472.0,6187.0,2491.0,2634.0
2020-04-07,6624982.0,7769.0,6731.0,2590.0,2680.0
2020-04-08,6624141.0,8045.0,7296.0,2682.0,2733.0
2020-04-09,6623302.0,8300.0,7880.0,2767.0,2818.0
2020-04-10,6622471.0,8530.0,8481.0,2843.0,2843.0
2020-04-11,6621648.0,8736.0,9098.0,2912.0,2889.0
2020-04-12,6620837.0,8916.0,9729.0,2972.0,2933.0
2020-04-13,6620041.0,9070.0,10371.0,3023.0,2964.0
2020-04-14,6619262.0,9196.0,11024.0,3065.0,2971.0
2020-04-15,6618502.0,9296.0,11684.0,3099.0,2951.0
2020-04-16,6617762.0,9369.0,12351.0,3123.0,2973.0
2020-04-17,6617044.0,9416.0,13022.0,3139.0,3011.0
2020-04-18,6616350.0,9436.0,13696.0,3145.0,3052.0
2020-04-19,6615680.0,9432.0,14370.0,3144.0,3066.0
2020-04-20,6615036.0,9404.0,15042.0,3135.0,3064.0
2020-04-21,6614418.0,9352.0,15712.0,3117.0,3096.0
2020-04-22,6613825.0,9279.0,16378.0,3093.0,3120.0
2020-04-23,6613260.0,9185.0,17037.0,3062.0,3118.0
2020-04-24,6612721.0,9072.0,17690.0,3024.0,3124.0
2020-04-25,6612208.0,8941.0,18333.0,2980.0,3066.0
2020-04-26,6611722.0,8794.0,18966.0,2931.0,2890.0
2020-04-27,6611261.0,8632.0,19589.0,2877.0,2899.0
2020-04-28,6610825.0,8458.0,20199.0,2819.0,2915.0
2020-04-29,6610414.0,8271.0,20797.0,2757.0,2906.0
2020-04-30,6610027.0,8074.0,21381.0,2691.0,2901.0
2020-05-01,6609663.0,7869.0,21950.0,2623.0,2915.0
2020-05-02,6609322.0,7656.0,22505.0,2552.0,2916.0
2020-05-03,6609001.0,7437.0,23044.0,2479.0,
2020-05-04,6608702.0,7213.0,23567.0,2404.0,
2020-05-05,6608422.0,6986.0,24074.0,2329.0,
2020-05-06,6608161.0,6756.0,24565.0,2252.0,
2020-05-07,6607918.0,6525.0,25039.0,2175.0,
2020-05-08,6607692.0,6293.0,25497.0,2098.0,
2020-05-09,6607482.0,6062.0,25938.0,2021.0,
2020-05-10,6607286.0,5833.0,26363.0,1944.0,
2020-05-11,6607106.0,5605.0,26771.0,1868.0,
2020-05-12,6606938.0,5380.0,27164.0,1793.0,
2020-05-13,6606784.0,5158.0,27540.0,1719.0,
2020-05-14,6606641.0,4941.0,27901.0,1647.0,
2020-05-15,6606509.0,4727.0,28246.0,1576.0,
2020-05-16,6606387.0,4519.0,28576.0,1506.0,
2020-05-17,6606275.0,4315.0,28892.0,1438.0,
2020-05-18,6606172.0,4117.0,29193.0,1372.0,
2020-05-19,6606077.0,3925.0,29480.0,1308.0,
2020-05-20,6605990.0,3738.0,29754.0,1246.0,
2020-05-21,6605910.0,3558.0,30014.0,1186.0,
2020-05-22,6605837.0,3383.0,30262.0,1128.0,
2020-05-23,6605770.0,3215.0,30498.0,1072.0,
2020-05-24,6605708.0,3052.0,30721.0,1017.0,
2020-05-25,6605652.0,2896.0,30934.0,965.0,
2020-05-26,6605601.0,2746.0,31135.0,915.0,
2020-05-27,6605554.0,2602.0,31326.0,867.0,
2020-05-28,6605511.0,2464.0,31507.0,821.0,
2020-05-29,6605472.0,2332.0,31678.0,777.0,
2020-05-30,6605436.0,2206.0,31840.0,735.0,
2020-05-31,6605403.0,2085.0,31994.0,695.0,
2020-06-01,6605374.0,1970.0,32138.0,657.0,
2020-06-02,6605347.0,1860.0,32275.0,620.0,
2020-06-03,6605322.0,1756.0,32404.0,585.0,
2020-06-04,6605300.0,1656.0,32526.0,552.0,
2020-06-05,6605280.0,1562.0,32641.0,521.0,
2020-06-06,6605261.0,1472.0,32749.0,491.0,
2020-06-07,6605244.0,1386.0,32851.0,462.0,
2020-06-08,6605229.0,1305.0,32947.0,435.0,
2020-06-09,6605215.0,1229.0,33038.0,410.0,
2020-06-10,6605203.0,1156.0,33123.0,385.0,
2020-06-11,6605191.0,1087.0,33203.0,362.0,
2020-06-12,6605181.0,1022.0,33279.0,341.0,
2020-06-13,6605172.0,961.0,33349.0,320.0,
2020-06-14,6605163.0,903.0,33416.0,301.0,
2020-06-15,6605156.0,848.0,33478.0,283.0,
2020-06-16,6605149.0,796.0,33537.0,265.0,
2020-06-17,6605142.0,747.0,33592.0,249.0,
2020-06-18,6605137.0,701.0,33644.0,234.0,
2020-06-19,6605132.0,658.0,33692.0,219.0,
2020-06-20,6605127.0,617.0,33738.0,206.0,
2020-06-21,6605123.0,579.0,33781.0,193.0,
2020-06-22,6605119.0,542.0,33821.0,181.0,
2020-06-23,6605116.0,508.0,33858.0,169.0,
2020-06-24,6605112.0,476.0,33893.0,159.0,
2020-06-25,6605110.0,446.0,33926.0,149.0,
2020-06-26,6605107.0,418.0,33957.0,139.0,
2020-06-27,6605105.0,391.0,33986.0,130.0,
2020-06-28,6605103.0,366.0,34013.0,122.0,
2020-06-29,6605101.0,343.0,34038.0,114.0,
2020-06-30,6605099.0,321.0,34062.0,107.0,
2020-07-01,6605098.0,300.0,34084.0,100.0,
2020-07-02,6605096.0,281.0,34105.0,94.0,
2020-07-03,6605095.0,263.0,34124.0,88.0,
2020-07-04,6605094.0,245.0,34142.0,82.0,
2020-07-05,6605093.0,230.0,34159.0,77.0,
2020-07-06,6605092.0,215.0,34175.0,72.0,
2020-07-07,6605091.0,201.0,34190.0,67.0,
2020-07-08,6605091.0,187.0,34204.0,62.0,
2020-07-09,6605090.0,175.0,34217.0,58.0,
2020-07-10,6605089.0,164.0,34229.0,55.0,
2020-07-11,6605089.0,153.0,34240.0,51.0,
2020-07-12,6605088.0,143.0,34251.0,48.0,
2020-07-13,6605088.0,133.0,34261.0,44.0,
2020-07-14,6605088.0,125.0,34270.0,42.0,
2020-07-15,6605087.0,116.0,34278.0,39.0,
2020-07-16,6605087.0,109.0,34287.0,36.0,
2020-07-17,6605087.0,101.0,34294.0,34.0,
2020-07-18,6605086.0,95.0,34301.0,32.0,
2020-07-19,6605086.0,88.0,34308.0,29.0,
2020-07-20,6605086.0,82.0,34314.0,27.0,
2020-07-21,6605086.0,77.0,34319.0,26.0,
2020-07-22,6605086.0,72.0,34325.0,24.0,
2020-07-23,6605085.0,67.0,34330.0,22.0,
2020-07-24,6605085.0,63.0,34334.0,21.0,
2020-07-25,6605085.0,58.0,34339.0,19.0,
2020-07-26,6605085.0,54.0,34343.0,18.0,
2020-07-27,6605085.0,51.0,34346.0,17.0,
2020-07-28,6605085.0,47.0,34350.0,16.0,
2020-07-29,6605085.0,44.0,34353.0,15.0,
2020-07-30,6605085.0,41.0,34356.0,14.0,
2020-07-31,6605085.0,38.0,34359.0,13.0,
2020-08-01,6605085.0,36.0,34362.0,12.0,
2020-08-02,6605085.0,33.0,34364.0,11.0,
2020-08-03,6605084.0,31.0,34366.0,10.0,
2020-08-04,6605084.0,29.0,34369.0,10.0,
2020-08-05,6605084.0,27.0,34371.0,9.0,
2020-08-06,6605084.0,25.0,34372.0,8.0,
2020-08-07,6605084.0,24.0,34374.0,8.0,
2020-08-08,6605084.0,22.0,34376.0,7.0,
2020-08-09,6605084.0,20.0,34377.0,7.0,
2020-08-10,6605084.0,19.0,34379.0,6.0,
2020-08-11,6605084.0,18.0,34380.0,6.0,
2020-08-12,6605084.0,17.0,34381.0,6.0,
2020-08-13,6605084.0,15.0,34382.0,5.0,
2020-08-14,6605084.0,14.0,34383.0,5.0,
2020-08-15,6605084.0,13.0,34384.0,4.0,
2020-08-16,6605084.0,12.0,34385.0,4.0,
2020-08-17,6605084.0,12.0,34386.0,4.0,
2020-08-18,6605084.0,11.0,34387.0,4.0,
2020-08-19,6605084.0,10.0,34388.0,3.0,
2020-08-20,6605084.0,9.0,34388.0,3.0,
2020-08-21,6605084.0,9.0,34389.0,3.0,
2020-08-22,6605084.0,8.0,34390.0,3.0,
2020-08-23,6605084.0,8.0,34390.0,3.0,
2020-08-24,6605084.0,7.0,34391.0,2.0,
2020-08-25,6605084.0,7.0,34391.0,2.0,
2020-08-26,6605084.0,6.0,34392.0,2.0,
2020-08-27,6605084.0,6.0,34392.0,2.0,
2020-08-28,6605084.0,5.0,34393.0,2.0,
2020-08-29,6605084.0,5.0,34393.0,2.0,
2020-08-30,6605084.0,5.0,34393.0,2.0,
2020-08-31,6605084.0,4.0,34394.0,1.0,
2020-09-01,6605084.0,4.0,34394.0,1.0,
2020-09-02,6605084.0,4.0,34394.0,1.0,
2020-09-03,6605084.0,3.0,34394.0,1.0,
2020-09-04,6605084.0,3.0,34395.0,1.0,
2020-09-05,6605084.0,3.0,34395.0,1.0,
2020-09-06,6605084.0,3.0,34395.0,1.0,
2020-09-07,6605084.0,3.0,34395.0,1.0,
2020-09-08,6605084.0,2.0,34395.0,1.0,
2020-09-09,6605084.0,2.0,34396.0,1.0,
