data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,60479998.0,2.0,0.0,1.0,
2020-02-08,60479997.0,3.0,0.0,1.0,
2020-02-09,60479996.0,4.0,0.0,1.0,
2020-02-10,60479994.0,6.0,1.0,2.0,
2020-02-11,60479991.0,8.0,1.0,3.0,
2020-02-12,60479987.0,11.0,2.0,4.0,
2020-02-13,60479981.0,16.0,3.0,5.0,
2020-02-14,60479974.0,22.0,4.0,7.0,
2020-02-15,60479963.0,31.0,6.0,10.0,
2020-02-16,60479947.0,44.0,9.0,15.0,
2020-02-17,60479925.0,62.0,12.0,21.0,
2020-02-18,60479895.0,88.0,18.0,29.0,
2020-02-19,60479851.0,123.0,25.0,41.0,
2020-02-20,60479790.0,174.0,36.0,58.0,
2020-02-21,60479704.0,245.0,51.0,82.0,
2020-02-22,60479582.0,346.0,72.0,115.0,
2020-02-23,60479411.0,488.0,101.0,163.0,
2020-02-24,60479169.0,688.0,143.0,229.0,221.0
2020-02-25,60478836.0,963.0,201.0,321.0,311.0
2020-02-26,60478389.0,1329.0,282.0,443.0,385.0
2020-02-27,60477798.0,1808.0,394.0,603.0,588.0
2020-02-28,60477028.0,2428.0,544.0,809.0,821.0
2020-02-29,60476037.0,3218.0,745.0,1073.0,1049.0
2020-03-01,60474778.0,4214.0,1009.0,1405.0,1577.0
2020-03-02,60473197.0,5451.0,1352.0,1817.0,1835.0
2020-03-03,60471236.0,6970.0,1794.0,2323.0,2263.0
2020-03-04,60468830.0,8814.0,2356.0,2938.0,2706.0
2020-03-05,60465912.0,11026.0,3062.0,3675.0,3296.0
2020-03-06,60462408.0,13651.0,3941.0,4550.0,3916.0
2020-03-07,60458245.0,16732.0,5023.0,5577.0,5061.0
2020-03-08,60453346.0,20311.0,6343.0,6770.0,6387.0
2020-03-09,60447636.0,24426.0,7937.0,8142.0,7985.0
2020-03-10,60441043.0,29111.0,9846.0,9704.0,8514.0
2020-03-11,60433495.0,34394.0,12110.0,11465.0,10590.0
2020-03-12,60424930.0,40296.0,14774.0,13432.0,12839.0
2020-03-13,60415289.0,46829.0,17882.0,15610.0,14955.0
2020-03-14,60404525.0,53996.0,21479.0,17999.0,17750.0
2020-03-15,60392597.0,61793.0,25611.0,20598.0,20603.0
2020-03-16,60379478.0,70201.0,30321.0,23400.0,23073.0
2020-03-17,60365153.0,79194.0,35653.0,26398.0,26062.0
2020-03-18,60349618.0,88734.0,41648.0,29578.0,28710.0
2020-03-19,60332885.0,98774.0,48342.0,32925.0,33190.0
2020-03-20,60314975.0,109256.0,55769.0,36419.0,37860.0
2020-03-21,60295926.0,120115.0,63959.0,40038.0,42681.0
2020-03-22,60275787.0,131278.0,72935.0,43759.0,46638.0
2020-03-23,60254618.0,142664.0,82718.0,47555.0,50418.0
2020-03-24,60232491.0,154190.0,93319.0,51397.0,54030.0
2020-03-25,60209488.0,165766.0,104746.0,55255.0,57521.0
2020-03-26,60185697.0,177304.0,116999.0,59101.0,62013.0
2020-03-27,60161216.0,188712.0,130072.0,62904.0,66414.0
2020-03-28,60136146.0,199901.0,143953.0,66634.0,70065.0
2020-03-29,60110593.0,210785.0,158622.0,70262.0,73880.0
2020-03-30,60084665.0,221280.0,174056.0,73760.0,75528.0
2020-03-31,60058470.0,231308.0,190222.0,77103.0,77635.0
2020-04-01,60032117.0,240797.0,207087.0,80266.0,80572.0
2020-04-02,60005711.0,249682.0,224608.0,83227.0,83049.0
2020-04-03,59979355.0,257905.0,242740.0,85968.0,85388.0
2020-04-04,59953149.0,265417.0,261434.0,88472.0,88274.0
2020-04-05,59927185.0,272177.0,280639.0,90726.0,91246.0
2020-04-06,59901550.0,278152.0,300298.0,92717.0,93187.0
2020-04-07,59876327.0,283318.0,320355.0,94439.0,94067.0
2020-04-08,59851588.0,287660.0,340752.0,95887.0,95262.0
2020-04-09,59827399.0,291171.0,361430.0,97057.0,96877.0
2020-04-10,59803821.0,293851.0,382328.0,97950.0,98273.0
2020-04-11,59780904.0,295708.0,403389.0,98569.0,100269.0
2020-04-12,59758691.0,296756.0,424553.0,98919.0,102253.0
2020-04-13,59737220.0,297017.0,445764.0,99006.0,103616.0
2020-04-14,59716519.0,296516.0,466966.0,98839.0,104291.0
2020-04-15,59696610.0,295284.0,488106.0,98428.0,105418.0
2020-04-16,59677510.0,293357.0,509133.0,97786.0,106607.0
2020-04-17,59659229.0,290773.0,529998.0,96924.0,106962.0
2020-04-18,59641769.0,287573.0,550657.0,95858.0,107771.0
2020-04-19,59625132.0,283802.0,571067.0,94601.0,108257.0
2020-04-20,59609310.0,279502.0,591188.0,93167.0,
2020-04-21,59594294.0,274722.0,610984.0,91574.0,
2020-04-22,59580071.0,269505.0,630423.0,89835.0,
2020-04-23,59566624.0,263900.0,649476.0,87967.0,
2020-04-24,59553934.0,257951.0,668115.0,85984.0,
2020-04-25,59541978.0,251703.0,686319.0,83901.0,
2020-04-26,59530733.0,245200.0,704067.0,81733.0,
2020-04-27,59520174.0,238484.0,721342.0,79495.0,
2020-04-28,59510275.0,231594.0,738131.0,77198.0,
2020-04-29,59501008.0,224569.0,754424.0,74856.0,
2020-04-30,59492345.0,217445.0,770210.0,72482.0,
2020-05-01,59484259.0,210256.0,785486.0,70085.0,
2020-05-02,59476720.0,203034.0,800246.0,67678.0,
2020-05-03,59469702.0,195808.0,814490.0,65269.0,
2020-05-04,59463176.0,188604.0,828219.0,62868.0,
2020-05-05,59457116.0,181449.0,841435.0,60483.0,
2020-05-06,59451494.0,174364.0,854142.0,58121.0,
2020-05-07,59446285.0,167369.0,866346.0,55790.0,
2020-05-08,59441463.0,160482.0,878055.0,53494.0,
2020-05-09,59437005.0,153719.0,889275.0,51240.0,
2020-05-10,59432888.0,147095.0,900018.0,49032.0,
2020-05-11,59429088.0,140620.0,910292.0,46873.0,
2020-05-12,59425585.0,134305.0,920110.0,44768.0,
2020-05-13,59422359.0,128159.0,929483.0,42720.0,
2020-05-14,59419390.0,122188.0,938423.0,40729.0,
2020-05-15,59416659.0,116398.0,946942.0,38799.0,
2020-05-16,59414151.0,110793.0,955055.0,36931.0,
2020-05-17,59411849.0,105377.0,962775.0,35126.0,
2020-05-18,59409737.0,100150.0,970114.0,33383.0,
2020-05-19,59407801.0,95113.0,977086.0,31704.0,
2020-05-20,59406027.0,90267.0,983706.0,30089.0,
2020-05-21,59404404.0,85610.0,989986.0,28537.0,
2020-05-22,59402919.0,81141.0,995940.0,27047.0,
2020-05-23,59401562.0,76856.0,1001582.0,25619.0,
2020-05-24,59400321.0,72754.0,1006924.0,24251.0,
2020-05-25,59399189.0,68831.0,1011980.0,22944.0,
2020-05-26,59398156.0,65083.0,1016761.0,21694.0,
2020-05-27,59397213.0,61506.0,1021281.0,20502.0,
2020-05-28,59396354.0,58094.0,1025552.0,19365.0,
2020-05-29,59395571.0,54844.0,1029584.0,18281.0,
2020-05-30,59394858.0,51751.0,1033390.0,17250.0,
2020-05-31,59394210.0,48809.0,1036981.0,16270.0,
2020-06-01,59393619.0,46014.0,1040367.0,15338.0,
2020-06-02,59393082.0,43360.0,1043558.0,14453.0,
2020-06-03,59392594.0,40841.0,1046564.0,13614.0,
2020-06-04,59392151.0,38454.0,1049395.0,12818.0,
2020-06-05,59391748.0,36191.0,1052061.0,12064.0,
2020-06-06,59391383.0,34049.0,1054568.0,11350.0,
2020-06-07,59391051.0,32022.0,1056927.0,10674.0,
2020-06-08,59390750.0,30105.0,1059146.0,10035.0,
2020-06-09,59390477.0,28293.0,1061231.0,9431.0,
2020-06-10,59390229.0,26581.0,1063190.0,8860.0,
2020-06-11,59390005.0,24965.0,1065030.0,8322.0,
2020-06-12,59389802.0,23440.0,1066758.0,7813.0,
2020-06-13,59389618.0,22002.0,1068381.0,7334.0,
2020-06-14,59389451.0,20646.0,1069903.0,6882.0,
2020-06-15,59389300.0,19368.0,1071332.0,6456.0,
2020-06-16,59389163.0,18165.0,1072672.0,6055.0,
2020-06-17,59389040.0,17032.0,1073929.0,5677.0,
2020-06-18,59388928.0,15965.0,1075107.0,5322.0,
2020-06-19,59388827.0,14962.0,1076211.0,4987.0,
2020-06-20,59388735.0,14019.0,1077246.0,4673.0,
2020-06-21,59388653.0,13132.0,1078215.0,4377.0,
2020-06-22,59388578.0,12299.0,1079123.0,4100.0,
2020-06-23,59388511.0,11516.0,1079973.0,3839.0,
2020-06-24,59388450.0,10781.0,1080769.0,3594.0,
2020-06-25,59388395.0,10091.0,1081514.0,3364.0,
2020-06-26,59388345.0,9443.0,1082212.0,3148.0,
2020-06-27,59388300.0,8836.0,1082864.0,2945.0,
2020-06-28,59388260.0,8266.0,1083475.0,2755.0,
2020-06-29,59388223.0,7731.0,1084046.0,2577.0,
2020-06-30,59388190.0,7230.0,1084580.0,2410.0,
2020-07-01,59388160.0,6760.0,1085080.0,2253.0,
2020-07-02,59388133.0,6320.0,1085547.0,2107.0,
2020-07-03,59388109.0,5908.0,1085983.0,1969.0,
2020-07-04,59388087.0,5522.0,1086391.0,1841.0,
2020-07-05,59388068.0,5160.0,1086772.0,1720.0,
2020-07-06,59388050.0,4821.0,1087129.0,1607.0,
2020-07-07,59388034.0,4504.0,1087462.0,1501.0,
2020-07-08,59388019.0,4208.0,1087773.0,1403.0,
2020-07-09,59388006.0,3930.0,1088063.0,1310.0,
2020-07-10,59387995.0,3671.0,1088335.0,1224.0,
2020-07-11,59387984.0,3428.0,1088588.0,1143.0,
2020-07-12,59387975.0,3201.0,1088825.0,1067.0,
2020-07-13,59387966.0,2988.0,1089046.0,996.0,
2020-07-14,59387958.0,2790.0,1089252.0,930.0,
2020-07-15,59387951.0,2604.0,1089444.0,868.0,
2020-07-16,59387945.0,2431.0,1089624.0,810.0,
2020-07-17,59387940.0,2268.0,1089792.0,756.0,
2020-07-18,59387934.0,2117.0,1089949.0,706.0,
2020-07-19,59387930.0,1975.0,1090095.0,658.0,
2020-07-20,59387926.0,1843.0,1090231.0,614.0,
2020-07-21,59387922.0,1720.0,1090358.0,573.0,
2020-07-22,59387919.0,1604.0,1090477.0,535.0,
2020-07-23,59387916.0,1497.0,1090588.0,499.0,
2020-07-24,59387913.0,1396.0,1090691.0,465.0,
2020-07-25,59387911.0,1302.0,1090787.0,434.0,
2020-07-26,59387908.0,1215.0,1090877.0,405.0,
2020-07-27,59387906.0,1133.0,1090961.0,378.0,
2020-07-28,59387905.0,1056.0,1091039.0,352.0,
2020-07-29,59387903.0,985.0,1091112.0,328.0,
2020-07-30,59387902.0,919.0,1091180.0,306.0,
2020-07-31,59387900.0,856.0,1091243.0,285.0,
2020-08-01,59387899.0,799.0,1091302.0,266.0,
2020-08-02,59387898.0,745.0,1091357.0,248.0,
2020-08-03,59387897.0,694.0,1091409.0,231.0,
2020-08-04,59387896.0,647.0,1091457.0,216.0,
2020-08-05,59387896.0,603.0,1091501.0,201.0,
2020-08-06,59387895.0,562.0,1091543.0,187.0,
2020-08-07,59387894.0,524.0,1091582.0,175.0,
2020-08-08,59387894.0,489.0,1091618.0,163.0,
2020-08-09,59387893.0,455.0,1091651.0,152.0,
2020-08-10,59387893.0,424.0,1091683.0,141.0,
2020-08-11,59387892.0,395.0,1091712.0,132.0,
2020-08-12,59387892.0,369.0,1091739.0,123.0,
2020-08-13,59387892.0,343.0,1091765.0,114.0,
2020-08-14,59387891.0,320.0,1091789.0,107.0,
2020-08-15,59387891.0,298.0,1091811.0,99.0,
2020-08-16,59387891.0,278.0,1091831.0,93.0,
2020-08-17,59387891.0,259.0,1091850.0,86.0,
2020-08-18,59387890.0,241.0,1091868.0,80.0,
2020-08-19,59387890.0,225.0,1091885.0,75.0,
2020-08-20,59387890.0,209.0,1091900.0,70.0,
2020-08-21,59387890.0,195.0,1091915.0,65.0,
2020-08-22,59387890.0,182.0,1091928.0,61.0,
2020-08-23,59387890.0,169.0,1091941.0,56.0,
2020-08-24,59387890.0,158.0,1091952.0,53.0,
