date,t,s,i,r
2020-02-24,0,59999337.0,663.0,0.0
2020-02-25,1,59999069.750418134,875.6494800117841,54.6001018746529
2020-02-26,2,59998716.78580645,1156.501711848721,126.71248172610002
2020-02-27,3,59998250.61649902,1527.4297215837425,221.9537794270165
2020-02-28,4,59997645.72458775,2006.769009823599,347.50640245364445
2020-02-29,5,59996878.86447483,2609.5632180177026,511.57230718755136
2020-03-01,6,59995916.45342559,3359.7384915236144,723.8080829221293
2020-03-02,7,59994720.42532644,4283.899252751442,995.6754208507915
2020-03-03,8,59993248.16458535,5411.206764336933,1340.6286503473211
2020-03-04,9,59991452.550208025,6773.159650432447,1774.2901415795504
2020-03-05,10,59989282.12383093,8403.269862246128,2314.6063068606854
2020-03-06,11,59986681.391209684,10336.632098462196,2981.9766918857904
2020-03-07,12,59983591.263016686,12609.388489465517,3799.3484938906327
2020-03-08,13,59979949.63571432,15258.094968051593,4792.269317664362
2020-03-09,14,59975692.10825611,18319.000288986084,5988.891454936672
2020-03-10,15,59970752.82513078,21827.25285459341,7419.922014655008
2020-03-11,16,59965065.43095312,25816.05470788191,9118.51433903081
2020-03-12,17,59958564.11694531,30315.785280866516,11120.097773857926
2020-03-13,18,59951184.73628563,35353.11917856321,13462.14453584081
2020-03-14,19,59942865.96043718,40950.16541838105,16183.874144470275
2020-03-15,20,59933550.447810546,47123.6543170344,19325.897872448008
2020-03-16,21,59923185.99374101,53884.1985971277,22929.807661884934
2020-03-17,22,59911726.63116016,61235.653209350385,27037.71563051263
2020-03-18,23,59899133.652215056,69174.59574609155,31691.75203887732
2020-03-19,24,59885376.52321793,77689.94576806584,36933.53101403468
2020-03-20,25,59870433.66845269,86762.73707794164,42803.59446939452
2020-03-21,26,59854293.10228991,96366.05219776192,49340.84551235895
2020-03-22,27,59836952.89364673,106465.12324799577,56581.98310529938
2020-03-23,28,59818421.45191787,117017.5982235654,64560.94985859142
2020-03-24,29,59798717.62887679,127973.96655429059,73308.40456894235
2020-03-25,30,59777870.635149114,139278.1342290348,82851.23062187577
2020-03-26,31,59755919.778091274,150868.13161157747,93212.09029717167
2020-03-27,32,59732914.0288395,162676.9373784323,104409.03378209047
2020-03-28,33,59708911.43216588,174633.3971064084,116455.17072773054
2020-03-29,34,59683978.37707339,186663.21290470898,129358.41002192811
2020-03-30,35,59658188.74782307,198689.98012293671,143121.2720540219
2020-03-31,36,59631622.97724593,210636.2467283249,157740.77602577605
2020-04-01,37,59604367.025699206,222424.57137043367,173208.40293038107
2020-04-02,38,59576511.30913042,233978.55737894514,189510.13349065286
2020-04-03,39,59548149.599914916,245223.84195680948,206626.5581282956
2020-04-04,40,59519377.922990486,256089.0199856364,224533.05702389276
2020-04-05,41,59490293.468103826,266506.49181650125,243200.04007968467
2020-04-06,42,59460993.53726996,276413.2151411532,262593.24758889654
2020-04-07,43,59431574.545131266,285751.3553588167,282674.0995099258
2020-04-08,44,59402131.08394084,294468.82924764446,303400.0868115263
2020-04-09,45,59372755.06922629,302519.73183599033,324725.1989377322
2020-04-10,46,59343534.97129574,309864.651935021,346600.37676924735
2020-04-11,47,59314555.13910663,316470.87654268515,368973.98435069754
2020-04-12,48,59285895.22452957,322312.48400761676,391792.2914628206
2020-04-13,49,59257629.703077294,327370.3380140533,414999.95890866395
2020-04-14,50,59229827.49286749,331631.98679305974,438540.5203394604
2020-04-15,51,59202551.67161119,335091.47512416384,462356.85326465446
2020-04-16,52,59175859.282893986,337749.08287568967,486391.63423033117
2020-04-17,53,59149801.229629576,339610.99730103795,510587.7730693993
2020-04-18,54,59124422.24843053,340688.93049550056,534888.8210739833
2020-04-19,55,59099760.95488703,340999.69401694805,559239.3510960309
2020-04-20,56,59075849.95468761,340564.7392280865,583585.3060843179
2020-04-21,57,59052716.015224986,339409.6747447123,607874.3100303166
2020-04-22,58,59030380.2776135,337563.7694727645,632055.9529137525
2020-04-23,59,59008858.51896714,335059.4524713726,656082.0285615033
2020-04-24,60,58988161.44226494,331931.81014836783,679906.7475867108
2020-04-25,61,58968294.99455901,328218.10084047925,703486.9046005213
2020-04-26,62,58949260.70373784,323957.27503773384,726782.0212244389
2020-04-27,63,58931056.026471384,319189.5273963061,749754.4461323224
2020-04-28,64,58913674.70631957,313955.86139203614,772369.4322884066
2020-04-29,65,58897107.128706165,308297.6943058072,794595.1769880416
2020-04-30,66,58881340.67841757,302256.48097535723,816402.8406070886
2020-05-01,67,58866360.08458399,295873.3804248353,837766.5349911879
2020-05-02,68,58852147.76063878,289188.94666012307,858663.2927011177
2020-05-03,69,58838684.1266805,282242.86044601025,879073.0128735133
2020-05-04,70,58825947.920126095,275073.6890238533,898978.3908500713
2020-05-05,71,58813916.4867529,267718.6825977401,918364.8306493791
2020-05-06,72,58802566.0549126,260213.60022762144,937220.3448598024
2020-05-07,73,58791871.99003225,252592.56739942072,955535.4425683536
2020-05-08,74,58781809.02902353,244887.9622377359,973303.0087387521
2020-05-09,75,58772351.49596728,237130.32824564484,990518.1757870977
2020-05-10,76,58763473.49627072,229348.313093169,1007178.190636131
2020-05-11,77,58755149.093601935,221568.6291779745,1023282.2772201083
2020-05-12,78,58747352.46546425,213816.036357584,1038831.498178188
2020-05-13,79,58740058.043209955,206113.34228079786,1053828.6145092705
2020-05-14,80,58733240.63211192,198481.4203150704,1068277.9475730278
2020-05-15,81,58726875.51751614,190939.24148984218,1082185.2409940355
2020-05-16,82,58720938.553501636,183503.91937209712,1095557.5271262815
2020-05-17,83,58715406.2392313,176190.7659400729,1108402.9948286423
2020-05-18,84,58710255.77818346,169013.35491852096,1120730.86689804
2020-05-19,85,58705465.13029882,161983.59512580748,1132551.27457539
2020-05-20,86,58701013.05137829,155111.8080512633,1143875.1405704687
2020-05-21,87,58696879.11861071,148406.806841007,1154714.0745483008
2020-05-22,88,58693043.75221501,141875.98613973727,1165080.2616452696
2020-05-23,89,58689488.22671022,135525.40724244385,1174986.3660473537
2020-05-24,90,58686194.67392533,129359.88541010823,1184445.4406645806
2020-05-25,91,58683146.081123024,123383.0766089817,1193470.8422680115
2020-05-26,92,58680326.2837814,117597.56676444599,1202076.149454173
2020-05-27,93,58677719.95356834,112004.95789406537,1210275.088537607
2020-05-28,94,58675312.58172458,106605.95024330002,1218081.4680321403
2020-05-29,95,58673090.45887636,101400.4241003992,1225509.1170232566
2020-05-30,96,58671040.65348498,96387.5171664244,1232571.8293486175
2020-05-31,97,58669150.9863459,91565.70122516702,1239283.312428944
2020-06-01,98,58667410.005098805,86932.85157725352,1245657.143323958
2020-06-02,99,58665806.95550503,82486.31677664554,1251706.7277183454
2020-06-03,100,58664331.75386671,78222.98102466647,1257445.2651086496
2020-06-04,101,58662974.956765994,74139.32559008274,1262885.717643943
2020-06-05,102,58661727.73240398,70231.48403427232,1268040.783561769
2020-06-06,103,58660581.830424935,66495.29557750329,1272922.8739975884
2020-06-07,104,58659529.55303691,62926.353185586166,1277544.0937775231
2020-06-08,105,58658563.725649685,59520.04880186236,1281916.2255484809
2020-06-09,106,58657677.668683104,56271.6144496663,1286050.716867256
2020-06-10,107,58656865.170222454,53176.159639617865,1289958.6701379525
2020-06-11,108,58656120.45805838,50228.706764558054,1293650.835177089
2020-06-12,109,58655438.1739455,47424.222125516666,1297137.6039290095
2020-06-13,110,58654813.348826684,44757.64348478011,1300429.0076885642
2020-06-14,111,58654241.37859071,42223.90541640893,1303534.7159929047
2020-06-15,112,58653718.00017366,39817.96288332348,1306464.0369430447
2020-06-16,113,58653239.27056656,37534.80960157374,1309225.919831897
2020-06-17,114,58652801.54474615,35369.497048158475,1311828.9582057248
2020-06-18,115,58652401.45599182,33317.14938190405,1314281.3946263131
2020-06-19,116,58652035.89722445,31372.976337420147,1316591.1264381655
2020-06-20,117,58651702.002497956,29532.285377854256,1318765.7121242187
2020-06-21,118,58651397.13038817,27790.49079200154,1320812.3788198608
2020-06-22,119,58651118.847834714,26143.121939608984,1322738.0302257098
2020-06-23,120,58650864.9151297,24585.829835370805,1324549.2550349627
2020-06-24,121,58650633.27193086,23114.392368757024,1326252.3357004146
2020-06-25,122,58650422.0238418,21724.718400572732,1327853.2577576605
2020-06-26,123,58650229.4301489,20412.850545604626,1329357.7193055297
2020-06-27,124,58650053.8921727,19174.96718731734,1330771.1406400136
2020-06-28,125,58649893.94243429,18007.383580715974,1332098.6739850217
2020-06-29,126,58649748.23465907,16906.55212872996,1333345.2132122323
2020-06-30,127,58649615.534278944,15869.062004162877,1334515.4037169192
2020-07-01,128,58649494.709756434,14891.638135888094,1335613.6521077063
