date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-02-24,0,221.0,221.0,221.0,221.0,221.0
2020-02-25,1,291.883160003928,291.883160003928,291.883160003928,291.883160003928,311.0
2020-02-26,2,385.50057061624034,385.50057061624034,385.50057061624034,385.50057061624034,385.0
2020-02-27,3,509.1432405279142,509.1432405279142,509.1432405279142,509.1432405279142,588.0
2020-02-28,4,668.923003274533,668.923003274533,668.923003274533,668.923003274533,821.0
2020-02-29,5,869.8544060059008,869.8544060059008,869.8544060059008,869.8544060059008,1049.0
2020-03-01,6,1119.9128305078714,1119.9128305078714,1119.9128305078714,1119.9128305078714,1577.0
2020-03-02,7,1427.966417583814,1427.966417583814,1427.966417583814,1427.966417583814,1835.0
2020-03-03,8,1803.735588112311,1803.735588112311,1803.735588112311,1803.735588112311,2263.0
2020-03-04,9,2257.719883477482,2257.719883477482,2257.719883477482,2257.719883477482,2706.0
2020-03-05,10,2801.089954082043,2801.089954082043,2801.089954082043,2801.089954082043,3296.0
2020-03-06,11,3445.544032820732,3445.544032820732,3445.544032820732,3445.544032820732,3916.0
2020-03-07,12,4203.1294964885055,4203.1294964885055,4203.1294964885055,4203.1294964885055,5061.0
2020-03-08,13,5086.031656017198,5086.031656017198,5086.031656017198,5086.031656017198,6387.0
2020-03-09,14,6106.333429662028,6106.333429662028,6106.333429662028,6106.333429662028,7985.0
2020-03-10,15,7275.750951531137,7275.750951531137,7275.750951531137,7275.750951531137,8514.0
2020-03-11,16,8605.35156929397,8605.35156929397,8605.35156929397,8605.35156929397,10590.0
2020-03-12,17,10105.261760288839,10105.261760288839,10105.261760288839,10105.261760288839,12839.0
2020-03-13,18,11784.37305952107,11784.37305952107,11784.37305952107,11784.37305952107,14955.0
2020-03-14,19,13650.055139460352,13650.055139460352,13650.055139460352,13650.055139460352,17750.0
2020-03-15,20,15707.8847723448,15707.8847723448,15707.8847723448,15707.8847723448,20603.0
2020-03-16,21,17961.3995323759,17961.3995323759,17961.3995323759,17961.3995323759,23073.0
2020-03-17,22,20411.884403116794,20411.884403116794,20411.884403116794,20411.884403116794,26062.0
2020-03-18,23,23058.198582030516,23058.198582030516,23058.198582030516,23058.198582030516,28710.0
2020-03-19,24,25896.648589355278,25896.648589355278,25896.648589355278,25896.648589355278,33190.0
2020-03-20,25,28920.91235931388,28920.91235931388,28920.91235931388,28920.91235931388,37860.0
2020-03-21,26,32122.017399253975,32122.017399253975,32122.017399253975,32122.017399253975,42681.0
2020-03-22,27,35488.37441599859,35488.37441599859,35488.37441599859,35488.37441599859,46638.0
2020-03-23,28,39005.8660745218,39005.8660745218,39005.8660745218,39005.8660745218,50418.0
2020-03-24,29,42657.98885143019,42657.98885143019,42657.98885143019,42657.98885143019,54030.0
2020-03-25,30,46426.0447430116,46426.0447430116,46426.0447430116,46426.0447430116,57521.0
2020-03-26,31,50289.377203859156,50289.377203859156,50289.377203859156,50289.377203859156,62013.0
2020-03-27,32,54225.64579281077,54225.64579281077,54225.64579281077,54225.64579281077,66414.0
2020-03-28,33,58211.1323688028,58211.1323688028,58211.1323688028,58211.1323688028,70065.0
2020-03-29,34,62221.07096823633,62221.07096823633,62221.07096823633,62221.07096823633,73880.0
2020-03-30,35,66229.99337431224,66229.99337431224,66229.99337431224,66229.99337431224,75528.0
2020-03-31,36,70212.08224277497,70212.08224277497,70212.08224277497,70212.08224277497,77635.0
2020-04-01,37,74141.52379014455,74141.52379014455,74141.52379014455,74141.52379014455,80572.0
2020-04-02,38,77992.85245964838,77992.85245964838,77992.85245964838,77992.85245964838,83049.0
2020-04-03,39,81741.28065226982,81741.28065226982,81741.28065226982,81741.28065226982,85388.0
2020-04-04,40,85363.0066618788,85363.0066618788,85363.0066618788,85363.0066618788,88274.0
2020-04-05,41,88835.49727216708,88835.49727216708,88835.49727216708,88835.49727216708,91246.0
2020-04-06,42,92137.7383803844,92137.7383803844,92137.7383803844,92137.7383803844,93187.0
2020-04-07,43,95250.45178627223,95250.45178627223,95250.45178627223,95250.45178627223,94067.0
2020-04-08,44,98156.27641588148,98156.27641588148,98156.27641588148,98156.27641588148,95262.0
2020-04-09,45,100839.91061199678,100839.91061199678,100839.91061199678,100839.91061199678,96877.0
2020-04-10,46,103288.21731167367,103288.21731167367,103288.21731167367,103288.21731167367,98273.0
2020-04-11,47,105490.29218089505,105490.29218089505,105490.29218089505,105490.29218089505,100269.0
2020-04-12,48,107437.49466920558,107437.49466920558,107437.49466920558,107437.49466920558,102253.0
2020-04-13,49,109123.44600468443,109123.44600468443,109123.44600468443,109123.44600468443,103616.0
2020-04-14,50,110543.99559768657,110543.99559768657,110543.99559768657,110543.99559768657,104291.0
2020-04-15,51,111697.15837472129,111697.15837472129,111697.15837472129,111697.15837472129,105418.0
2020-04-16,52,112583.0276252299,112583.0276252299,112583.0276252299,112583.0276252299,106607.0
2020-04-17,53,113203.66576701264,113203.66576701264,113203.66576701264,113203.66576701264,106962.0
2020-04-18,54,113562.97683183353,113562.97683183353,113562.97683183353,113562.97683183353,107771.0
2020-04-19,55,113666.56467231602,113666.56467231602,113666.56467231602,113666.56467231602,108257.0
2020-04-20,56,113521.5797426955,113521.5797426955,113521.5797426955,113521.5797426955,108237.0
2020-04-21,57,113136.55824823743,113136.55824823743,113136.55824823743,113136.55824823743,107709.0
2020-04-22,58,112521.2564909215,112521.2564909215,112521.2564909215,112521.2564909215,107699.0
2020-04-23,59,111686.4841571242,111686.4841571242,111686.4841571242,111686.4841571242,106848.0
2020-04-24,60,110643.93671612261,110643.93671612261,110643.93671612261,110643.93671612261,106527.0
2020-04-25,61,109406.03361349308,109406.03361349308,109406.03361349308,109406.03361349308,105847.0
2020-04-26,62,107985.75834591128,107985.75834591128,107985.75834591128,107985.75834591128,106103.0
2020-04-27,63,106396.50913210203,106396.50913210203,106396.50913210203,106396.50913210203,105813.0
2020-04-28,64,104651.95379734538,104651.95379734538,104651.95379734538,104651.95379734538,105205.0
2020-04-29,65,102765.89810193573,102765.89810193573,102765.89810193573,102765.89810193573,104657.0
2020-04-30,66,100752.16032511908,100752.16032511908,100752.16032511908,100752.16032511908,101551.0
2020-05-01,67,98624.46014161177,98624.46014161177,98624.46014161177,98624.46014161177,100943.0
2020-05-02,68,96396.31555337436,96396.31555337436,96396.31555337436,96396.31555337436,100704.0
2020-05-03,69,94080.95348200342,94080.95348200342,94080.95348200342,94080.95348200342,
2020-05-04,70,91691.22918298487,91691.225878343,91691.2255504449,91691.22926240962,
2020-05-05,71,88412.27456408135,91562.11086991167,92205.35042580157,92853.09725004213,
2020-05-06,72,85250.10316536018,91431.08465870343,92719.77520495756,94026.5447915416,
2020-05-07,73,82200.59256836318,91298.15949844266,93234.45571236471,95211.60017092359,
2020-05-08,74,79259.75981595722,91163.34792825911,93749.35079827964,96408.28916809586,
2020-05-09,75,76423.7606027669,91026.66262107705,94264.41885044107,97616.6348811994,
2020-05-10,76,73688.88457737798,90888.11637295474,94779.61780041222,98836.65765261198,
2020-05-11,77,71051.55082544535,90747.72211251223,95294.90512526891,100068.37496156174,
2020-05-12,78,68508.30361682114,90605.49290082557,95810.23785086507,101311.80121364165,
2020-05-13,79,66055.8078934562,90461.44192547433,96325.57255777519,102566.9477668145,
2020-05-14,80,63690.84494895525,90315.58249808634,96840.86538389995,103833.82282963961,
2020-05-15,81,61410.309115215874,90167.92805188218,97356.07202823307,105112.43136444694,
2020-05-16,82,59211.20375318497,90018.49213921984,97871.147758978,106402.775068553,
2020-05-17,83,57090.63744776524,89867.28842913936,98386.04741550464,107704.85220460933,
2020-05-18,84,55045.82004823231,89714.33070182895,98900.72541237192,109018.65752591159,
2020-05-19,85,53074.05944484221,89559.63282044228,99415.13574884487,110344.18219208595,
2020-05-20,86,51172.758596911415,89403.20876723318,99929.232011138,111681.41366920822,
2020-05-21,87,49339.41162672581,89245.07263378434,100442.9673770155,113030.33565432712,
2020-05-22,88,47571.600776725914,89085.23861296044,100956.29462556174,114390.92798273086,
2020-05-23,89,45866.99372436418,88923.72099625283,101469.16614098985,115763.16652765202,
2020-05-24,90,44223.340364488715,88760.53417112389,101981.5339176227,117147.02308372695,
2020-05-25,91,42638.46998390833,88595.69261835162,102493.34958133685,118542.46531326768,
2020-05-26,92,41110.28864682479,88429.2109093741,103004.56437664929,119949.45664336612,
2020-05-27,93,39636.77637093809,88261.10370784825,103515.12917386663,121367.9561655721,
2020-05-28,94,38215.9845470812,88091.3857788577,104024.9944788703,122797.91853412056,
2020-05-29,95,36846.03360614146,87920.07196156772,104534.11043953367,124239.29388933307,
2020-05-30,96,35525.11048726281,87747.17717554832,105042.42685235797,125692.02776150098,
2020-05-31,97,34251.466294578204,87572.71641963371,105549.89316932746,127156.06097665538,
2020-06-01,98,33023.414190780015,87396.70476938586,106056.45850498373,128631.32956429897,
2020-06-02,99,31839.32712442674,87219.15737455798,106562.07167468623,130117.76466384156,
2020-06-03,100,30697.63569694563,87040.089456558,107066.68120954308,131615.29243185435,
2020-06-04,101,29596.82628421765,86859.5163059121,107570.2353025095,133123.83394869036,
2020-06-05,102,28535.43898775266,86677.45328058103,108072.68184966872,134643.30512676432,
2020-06-06,103,27512.06569054304,86493.91580392524,108573.96846003446,136173.61667154924,
2020-06-07,104,26525.348383475295,86308.91935982138,109074.04246527447,137714.67394646932,
2020-06-08,105,25573.977324507967,86122.47949128269,109572.85092971868,139266.3768692148,
2020-06-09,106,24656.689275202152,85934.61179796977,110070.34066065244,140828.61983562712,
2020-06-10,107,23772.266000386127,85745.33193366724,110566.45821443421,142401.29162884215,
2020-06-11,108,22919.53261504971,85554.65560376056,111061.14987529557,143984.27535862502,
2020-06-12,109,22097.355985429105,85362.59856271265,111554.3617128764,145577.44848885658,
2020-06-13,110,21304.64338171275,85169.1766115418,112046.03958339925,147180.68258593857,
2020-06-14,111,20540.34102277849,84974.40559698068,112536.12913494732,148793.84328337255,
2020-06-15,112,19803.43263458362,84778.30140799894,113024.57581866639,150416.7902107907,
2020-06-16,113,19092.93814929038,84580.87997164311,113511.3249002112,152049.37691338002,
2020-06-17,114,18407.912413458358,84382.15725166905,113996.32147143641,153691.45085387435,
2020-06-18,115,17747.44397033536,84182.14924603498,114479.51046233175,155342.85335174322,
2020-06-19,116,17110.653961206426,83980.87198439449,114960.83662444547,157003.4193932923,
2020-06-20,117,16496.694821993777,83778.34152558955,115440.24455329648,158672.97762078498,
2020-06-21,118,15904.749202842264,83574.57395514357,115917.67873338894,160351.35026514166,
2020-06-22,119,15334.02897512936,83369.5853869695,116393.08352987659,162038.35308798146,
2020-06-23,120,14783.774148750104,83163.39195127215,116866.40320079566,163733.7954505901,
2020-06-24,121,14253.25184604808,82956.00981345175,117337.58190949463,165437.48013282826,
2020-06-25,122,13741.755360050453,82747.455146266,117806.56373726072,167149.20327083717,
2020-06-26,123,13248.603253208472,82537.7441377453,118273.29269614328,168868.7543347151,
2020-06-27,124,12773.138419537938,82326.8929887052,118737.7127387703,170595.91607977642,
