Data,nord,centro,sud,isole
2020-02-28,4.23,4.66,0.1,0.1
2020-02-29,3.99,5.17,0.1,0.1
2020-03-01,4.44,7.19,0.1,0.1
2020-03-02,3.78,6.99,5.27,3.29
2020-03-03,3.44,6.04,4.89,3.75
2020-03-04,3.48,5.59,3.14,5.58
2020-03-05,2.7,5.13,3.62,0.23
2020-03-06,2.75,5.86,4.2,5.22
2020-03-07,2.7,4.71,3.19,6.01
2020-03-08,2.98,4.26,4.29,3.49
2020-03-09,3.12,3.67,3.73,4.73
2020-03-10,3.34,3.53,3.31,4.22
2020-03-11,2.8,3.16,3.61,3.83
2020-03-12,2.67,2.89,2.66,3.15
2020-03-13,2.5,3.01,2.85,3.17
2020-03-14,2.83,3.13,3.14,3.49
2020-03-15,2.63,3.33,3.18,2.8
2020-03-16,2.43,3.27,3.0,2.76
2020-03-17,2.35,2.97,3.08,2.76
2020-03-18,2.19,2.66,2.82,2.83
2020-03-19,2.11,2.45,2.91,2.51
2020-03-20,2.12,2.57,3.01,2.78
2020-03-21,2.15,2.57,2.7,3.07
2020-03-22,2.26,2.4,3.03,3.23
2020-03-23,2.07,2.33,2.48,2.88
2020-03-24,1.91,2.05,2.2,2.46
2020-03-25,1.74,1.91,1.99,2.37
2020-03-26,1.67,1.8,1.87,2.29
2020-03-27,1.65,1.77,1.83,2.37
2020-03-28,1.6,1.78,2.0,2.08
2020-03-29,1.61,1.73,1.99,1.98
2020-03-30,1.53,1.62,2.02,1.67
2020-03-31,1.35,1.63,1.9,1.68
2020-04-01,1.3,1.48,1.75,1.55
2020-04-02,1.24,1.38,1.65,1.5
2020-04-03,1.27,1.39,1.54,1.45
2020-04-04,1.3,1.38,1.54,1.39
2020-04-05,1.28,1.31,1.54,1.41
2020-04-06,1.3,1.23,1.47,1.36
2020-04-07,1.31,1.2,1.32,1.3
2020-04-08,1.2,1.21,1.33,1.21
2020-04-09,1.14,1.15,1.26,1.18
2020-04-10,1.13,1.09,1.23,1.19
2020-04-11,1.16,1.07,1.25,1.19
2020-04-12,1.19,1.1,1.19,1.18
2020-04-13,1.19,1.11,1.19,1.13
2020-04-14,1.2,1.12,1.14,1.14
2020-04-15,1.14,1.09,1.12,1.09
2020-04-16,1.11,1.11,1.1,1.03
2020-04-17,1.09,1.12,1.08,1.02
2020-04-18,1.09,1.07,1.04,1.05
2020-04-19,1.07,1.08,1.05,1.1
2020-04-20,1.04,1.04,1.01,1.1
2020-04-21,1.04,1.05,1.06,1.07
2020-04-22,1.0,1.07,1.03,1.05
2020-04-23,0.96,0.99,1.01,1.05
2020-04-24,0.96,0.95,1.02,1.06
2020-04-25,0.96,0.92,1.05,1.03
2020-04-26,0.93,1.0,0.98,0.94
2020-04-27,0.99,0.98,0.94,0.82
2020-04-28,0.99,0.97,0.93,0.76
2020-04-29,1.0,0.94,0.92,0.83
2020-04-30,0.97,0.89,0.89,1.02
2020-05-01,0.88,0.84,0.93,1.01
2020-05-02,0.87,0.81,0.96,1.0
