data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-19,12336958.0,2.0,0.0,1.0,
2020-02-20,12336957.0,3.0,0.0,1.0,
2020-02-21,12336956.0,4.0,0.0,1.0,
2020-02-22,12336954.0,6.0,1.0,2.0,
2020-02-23,12336951.0,8.0,1.0,3.0,
2020-02-24,12336947.0,11.0,2.0,4.0,0.0
2020-02-25,12336942.0,15.0,3.0,5.0,0.0
2020-02-26,12336935.0,21.0,4.0,7.0,0.0
2020-02-27,12336924.0,30.0,6.0,10.0,4.0
2020-02-28,12336909.0,42.0,8.0,14.0,8.0
2020-02-29,12336889.0,59.0,12.0,20.0,17.0
2020-03-01,12336862.0,81.0,17.0,27.0,21.0
2020-03-02,12336827.0,109.0,24.0,36.0,22.0
2020-03-03,12336781.0,146.0,33.0,49.0,38.0
2020-03-04,12336721.0,194.0,45.0,65.0,40.0
2020-03-05,12336646.0,253.0,61.0,84.0,60.0
2020-03-06,12336551.0,328.0,81.0,109.0,79.0
2020-03-07,12336433.0,419.0,108.0,140.0,91.0
2020-03-08,12336289.0,529.0,142.0,176.0,149.0
2020-03-09,12336113.0,663.0,184.0,221.0,179.0
2020-03-10,12335902.0,821.0,237.0,274.0,199.0
2020-03-11,12335650.0,1008.0,302.0,336.0,245.0
2020-03-12,12335352.0,1226.0,382.0,409.0,312.0
2020-03-13,12335005.0,1477.0,478.0,492.0,381.0
2020-03-14,12334602.0,1765.0,594.0,588.0,468.0
2020-03-15,12334139.0,2090.0,731.0,697.0,585.0
2020-03-16,12333611.0,2456.0,893.0,819.0,674.0
2020-03-17,12333014.0,2863.0,1083.0,954.0,875.0
2020-03-18,12332344.0,3313.0,1303.0,1104.0,938.0
2020-03-19,12331598.0,3805.0,1557.0,1268.0,1255.0
2020-03-20,12330773.0,4339.0,1848.0,1446.0,1506.0
2020-03-21,12329867.0,4914.0,2178.0,1638.0,1726.0
2020-03-22,12328880.0,5529.0,2551.0,1843.0,1955.0
2020-03-23,12327810.0,6182.0,2969.0,2061.0,2160.0
2020-03-24,12326657.0,6868.0,3435.0,2289.0,2327.0
2020-03-25,12325424.0,7585.0,3951.0,2528.0,2540.0
2020-03-26,12324112.0,8329.0,4519.0,2776.0,2769.0
2020-03-27,12322724.0,9095.0,5141.0,3032.0,3144.0
2020-03-28,12321263.0,9878.0,5819.0,3293.0,3466.0
2020-03-29,12319735.0,10672.0,6553.0,3557.0,3762.0
2020-03-30,12318144.0,11473.0,7343.0,3824.0,4134.0
2020-03-31,12316495.0,12273.0,8192.0,4091.0,4347.0
2020-04-01,12314795.0,13068.0,9097.0,4356.0,4567.0
2020-04-02,12313050.0,13851.0,10058.0,4617.0,4864.0
2020-04-03,12311268.0,14617.0,11075.0,4872.0,5210.0
2020-04-04,12309454.0,15360.0,12146.0,5120.0,5375.0
2020-04-05,12307617.0,16075.0,13269.0,5358.0,5603.0
2020-04-06,12305763.0,16756.0,14441.0,5585.0,5797.0
2020-04-07,12303899.0,17399.0,15661.0,5800.0,5900.0
2020-04-08,12302033.0,18001.0,16926.0,6000.0,6122.0
2020-04-09,12300171.0,18557.0,18232.0,6186.0,6214.0
