,GDP,Totale_casi,Totale_deceduti,Totale_guariti,Popolazione,Casi/milione,Deceduti/Guariti %,Deceduti/milione
United Kingdom,-11.5,299600,42054,1293,66650000.00000001,4495.123780945236,3252.436194895591,630.9677419354838
France,-11.4,194347,29550,73459,66989999.99999999,2901.1344976862224,40.22652091642958,441.1106135244067
Italy,-11.3,237500,34405,178526,60360000.0,3934.7249834327367,19.271702721172264,569.9966865473823
Spain,-11.1,244328,27136,150376,46940000.0,5205.112910097997,18.045432781826886,578.0997017469109
Iceland,-9.9,1812,10,1796,364134.0,4976.190083870223,0.5567928730512249,27.462417681403
Czechia,-9.6,10111,331,7358,10690000.0,945.8372310570626,4.4985050285403645,30.96351730589336
Portugal,-9.4,37336,1522,23212,10280000.0,3631.9066147859926,6.556953300017232,148.0544747081712
Slovakia,-9.3,1552,28,1426,5458000.0,284.3532429461341,1.9635343618513323,5.130084279956028
Belgium,-8.9,60155,9663,16625,11460000.0,5249.12739965096,58.12330827067669,843.1937172774868
New Zealand,-8.9,1506,22,1482,4886000.0,308.2275890298813,1.484480431848853,4.502660663119116
Estonia,-8.4,1975,69,1728,1329000.0,1486.0797592174567,3.9930555555555554,51.918735891647856
Argentina,-8.3,34159,878,10174,44490000.0,767.7905147224095,8.629840770591704,19.734771858844685
Latvia,-8.1,1098,28,875,1920000.0,571.875,3.2,14.583333333333334
Lithuania,-8.1,1776,76,1441,2794000.0,635.6478167501789,5.27411519777932,27.20114531138153
Russia,-8.0,544725,7274,293780,144500000.0,3769.723183391003,2.476002450813534,50.33910034602076
Netherlands,-8.0,49295,6089,186,17280000.0,2852.7199074074074,3273.6559139784945,352.37268518518516
Hungary,-8.0,4077,565,2516,9773000.0,417.16975340223064,22.456279809220987,57.81234012074082
Greece,-8.0,3148,185,1374,10720000.0,293.65671641791045,13.46433770014556,17.257462686567166
Canada,-8.0,101087,8271,61899,37590000.0,2689.199255121043,13.362089856055833,220.0319233838787
Finland,-7.9,7112,326,6200,5518000.0,1288.872779992751,5.258064516129032,59.079376585719466
Slovenia,-7.8,1499,109,1359,2081000.0,720.3267659778952,8.020603384841795,52.378664103796254
Switzerland,-7.7,31154,1954,28900,8570000.0,3635.2392065344225,6.7612456747404845,228.0046674445741
South Africa,-7.5,76334,1625,42063,57780000.0,1321.1145725164417,3.863252739937712,28.1239183108342
Mexico,-7.5,154863,18310,115394,126200000.0,1227.1236133122027,15.867376120075566,145.08716323296355
Brazil,-7.4,923189,45241,490005,209500000.0,4406.630071599046,9.2327629309905,215.94749403341288
Poland,-7.4,30195,1272,14654,37970000.0,795.2330787463786,8.68022382967108,33.50013168290756
US,-7.3,2137731,116963,583503,382000000.0,5596.15445026178,20.0449697773619,306.18586387434556
Ireland,-6.8,25334,1709,22698,4900000.0,5170.2040816326535,7.529297735483302,348.7755102040816
Sweden,-6.7,53323,4939,0,10230000.0,5212.414467253177,inf,482.7956989247312
Germany,-6.6,188252,8820,172842,83020000.0,2267.5499879547096,5.102926372062346,106.23946037099495
Luxembourg,-6.5,4075,110,3933,613894.0,6637.95378355221,2.796847190439868,179.18402851306578
Austria,-6.2,17189,681,16089,8859000.0,1940.286714076081,4.23270557523774,76.87097866576363
Israel,-6.2,19495,302,15449,8884000.0,2194.394416929311,1.954819082141239,33.99369653309321
Colombia,-6.1,53211,1808,19986,49650000.0,1071.7220543806648,9.046332432702892,36.41490433031219
Norway,-6.0,8660,242,8138,5368000.0,1613.263785394933,2.9737036126812484,45.08196721311475
Japan,-6.0,17484,934,15652,126500000.0,138.21343873517787,5.96728852542806,7.383399209486166
Denmark,-5.8,12450,598,11325,5806000.0,2144.3334481570787,5.280353200883002,102.99689975887014
Chile,-5.6,184449,3383,156232,18730000.0,9847.784303256807,2.165369450560705,180.6193272824346
Australia,-5.0,7370,102,6861,24990000.0,294.91796718687476,1.4866637516397025,4.081632653061225
Turkey,-4.8,181298,4842,153379,82000000.0,2210.951219512195,3.1568858839867255,59.04878048780488
Costa Rica,-4.1,1796,12,794,5000000.0,359.2,1.5113350125944585,2.4
India,-3.7,354065,11903,186935,1353000000.0,261.6888396156689,6.367453927835879,8.797487065779748
Indonesia,-2.8,40400,2231,15703,267700000.0,150.91520358610384,14.207476278418138,8.333955920806872
China,-2.6,84422,4638,79493,1393000000.0,60.604450825556356,5.834475991596745,3.329504666188083
"Korea, South",-1.6,12198,279,10774,51640000.0,236.21223857474826,2.5895674772600707,5.40278853601859
