Spain,Italy,Germany,France,UK,Portugal,Sweden,Belgium,Austria
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.7,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.75,2.01,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.75,1.45,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.75,1.46,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3.91,1.59,0.0,0.0,1.0,0.0,0.0
1.0,0.99,2.36,1.02,0.0,0.0,0.99,0.0,0.0
0.99,1.01,1.62,1.0,0.0,0.0,1.01,0.0,0.0
1.01,1.02,0.99,0.99,0.0,0.0,0.99,0.0,0.0
0.99,2.02,1.21,1.01,0.0,0.0,1.01,1.0,0.0
1.01,2.03,1.37,2.01,0.0,0.0,0.99,0.99,0.0
2.01,2.34,1.41,2.51,0.0,0.0,1.01,1.01,0.0
2.74,1.01,1.37,3.02,0.0,0.0,0.99,0.99,0.0
3.27,0.99,1.53,0.97,0.0,0.0,1.01,1.01,0.0
0.97,1.01,1.18,0.5,0.0,0.0,0.99,0.99,0.0
1.0,0.99,1.21,0.34,0.0,0.0,1.01,1.01,0.0
0.0,1.01,0.81,0.0,0.0,0.0,0.99,0.99,0.0
0.0,0.99,0.78,0.37,0.0,0.0,1.01,1.01,0.0
0.0,1.01,0.99,0.17,0.0,0.0,0.99,0.0,0.0
0.0,0.99,0.0,0.16,0.0,0.0,1.01,0.0,0.0
0.0,1.01,0.0,1.0,0.0,0.0,0.99,0.0,0.0
0.0,0.99,0.0,0.99,0.0,0.0,1.01,0.0,0.0
0.0,1.01,0.0,1.01,0.0,0.0,0.99,0.0,0.0
0.0,0.99,0.0,0.99,0.0,0.0,1.01,0.0,0.0
0.0,1.01,0.0,1.01,0.0,0.0,0.99,0.0,0.0
0.0,2.01,0.0,0.99,0.0,0.0,1.01,0.0,0.0
