data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-17,13626594.0,2.0,0.0,1.0,
2020-02-18,13626593.0,3.0,0.0,1.0,
2020-02-19,13626592.0,4.0,0.0,1.0,
2020-02-20,13626590.0,6.0,1.0,2.0,
2020-02-21,13626587.0,8.0,1.0,3.0,
2020-02-22,13626583.0,11.0,2.0,4.0,
2020-02-23,13626578.0,15.0,3.0,5.0,
2020-02-24,13626571.0,21.0,4.0,7.0,2.0
2020-02-25,13626560.0,30.0,6.0,10.0,4.0
2020-02-26,13626545.0,42.0,8.0,14.0,3.0
2020-02-27,13626525.0,59.0,12.0,20.0,6.0
2020-02-28,13626496.0,83.0,17.0,28.0,14.0
2020-02-29,13626456.0,116.0,24.0,39.0,26.0
2020-03-01,13626399.0,163.0,34.0,54.0,47.0
2020-03-02,13626319.0,229.0,48.0,76.0,57.0
2020-03-03,13626209.0,320.0,67.0,107.0,105.0
2020-03-04,13626061.0,441.0,94.0,147.0,163.0
2020-03-05,13625866.0,599.0,131.0,200.0,245.0
2020-03-06,13625615.0,800.0,181.0,267.0,320.0
2020-03-07,13625295.0,1054.0,247.0,351.0,434.0
2020-03-08,13624893.0,1370.0,333.0,457.0,568.0
2020-03-09,13624396.0,1756.0,444.0,585.0,685.0
2020-03-10,13623787.0,2224.0,586.0,741.0,829.0
2020-03-11,13623051.0,2781.0,764.0,927.0,997.0
2020-03-12,13622173.0,3438.0,985.0,1146.0,1250.0
2020-03-13,13621137.0,4201.0,1258.0,1400.0,1568.0
2020-03-14,13619928.0,5080.0,1588.0,1693.0,2023.0
2020-03-15,13618532.0,6078.0,1986.0,2026.0,2530.0
2020-03-16,13616936.0,7200.0,2460.0,2400.0,2837.0
2020-03-17,13615131.0,8448.0,3018.0,2816.0,3303.0
2020-03-18,13613106.0,9821.0,3669.0,3274.0,3928.0
2020-03-19,13610857.0,11316.0,4423.0,3772.0,4517.0
2020-03-20,13608379.0,12928.0,5289.0,4309.0,5314.0
