data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-19,9277174.0,2.0,0.0,1.0,
2020-02-20,9277173.0,3.0,0.0,1.0,
2020-02-21,9277172.0,4.0,0.0,1.0,
2020-02-22,9277170.0,6.0,1.0,2.0,
2020-02-23,9277167.0,8.0,1.0,3.0,
2020-02-24,9277163.0,11.0,2.0,4.0,2.0
2020-02-25,9277158.0,15.0,3.0,5.0,4.0
2020-02-26,9277151.0,21.0,4.0,7.0,2.0
2020-02-27,9277140.0,30.0,6.0,10.0,3.0
2020-02-28,9277125.0,42.0,8.0,14.0,8.0
2020-02-29,9277105.0,59.0,12.0,20.0,15.0
2020-03-01,9277076.0,83.0,17.0,28.0,22.0
2020-03-02,9277036.0,116.0,24.0,39.0,23.0
2020-03-03,9276979.0,163.0,34.0,54.0,46.0
2020-03-04,9276899.0,229.0,48.0,76.0,83.0
2020-03-05,9276789.0,320.0,67.0,107.0,125.0
2020-03-06,9276641.0,441.0,94.0,147.0,165.0
2020-03-07,9276448.0,597.0,131.0,199.0,233.0
2020-03-08,9276199.0,796.0,181.0,265.0,303.0
2020-03-09,9275884.0,1046.0,246.0,349.0,372.0
2020-03-10,9275490.0,1355.0,331.0,452.0,448.0
2020-03-11,9275004.0,1730.0,441.0,577.0,536.0
2020-03-12,9274414.0,2181.0,580.0,727.0,680.0
2020-03-13,9273706.0,2715.0,755.0,905.0,870.0
2020-03-14,9272866.0,3339.0,970.0,1113.0,1160.0
2020-03-15,9271883.0,4059.0,1234.0,1353.0,1443.0
2020-03-16,9270744.0,4879.0,1553.0,1626.0,1652.0
2020-03-17,9269439.0,5803.0,1934.0,1934.0,2001.0
2020-03-18,9267960.0,6832.0,2384.0,2277.0,2452.0
2020-03-19,9266300.0,7964.0,2912.0,2655.0,2895.0
2020-03-20,9264454.0,9197.0,3524.0,3066.0,3470.0
2020-03-21,9262422.0,10526.0,4228.0,3509.0,3979.0
2020-03-22,9260203.0,11943.0,5030.0,3981.0,4507.0
2020-03-23,9257801.0,13439.0,5936.0,4480.0,4926.0
2020-03-24,9255222.0,15003.0,6952.0,5001.0,5365.0
2020-03-25,9252474.0,16621.0,8081.0,5540.0,5928.0
2020-03-26,9249568.0,18281.0,9327.0,6094.0,6519.0
2020-03-27,9246518.0,19966.0,10693.0,6655.0,7018.0
2020-03-28,9243336.0,21660.0,12180.0,7220.0,7715.0
2020-03-29,9240041.0,23348.0,13787.0,7783.0,8314.0
2020-03-30,9236648.0,25014.0,15514.0,8338.0,8657.0
2020-03-31,9233176.0,26640.0,17360.0,8880.0,9027.0
2020-04-01,9229644.0,28213.0,19319.0,9404.0,9396.0
2020-04-02,9226071.0,29717.0,21388.0,9906.0,9937.0
2020-04-03,9222475.0,31139.0,23562.0,10380.0,10283.0
2020-04-04,9218874.0,32468.0,25834.0,10823.0,10614.0
2020-04-05,9215286.0,33692.0,28198.0,11231.0,10876.0
2020-04-06,9211727.0,34804.0,30645.0,11601.0,11085.0
2020-04-07,9208213.0,35796.0,33167.0,11932.0,11314.0
2020-04-08,9204758.0,36663.0,35756.0,12221.0,11543.0
2020-04-09,9201374.0,37400.0,38402.0,12467.0,11782.0
2020-04-10,9198074.0,38006.0,41095.0,12669.0,12035.0
2020-04-11,9194868.0,38480.0,43828.0,12827.0,12362.0
2020-04-12,9191763.0,38824.0,46590.0,12941.0,12610.0
2020-04-13,9188767.0,39038.0,49371.0,13013.0,12782.0
2020-04-14,9185886.0,39127.0,52163.0,13042.0,12996.0
2020-04-15,9183123.0,39095.0,54958.0,13032.0,
2020-04-16,9180482.0,38948.0,57746.0,12983.0,
2020-04-17,9177965.0,38691.0,60519.0,12897.0,
2020-04-18,9175573.0,38332.0,63271.0,12777.0,
2020-04-19,9173306.0,37878.0,65993.0,12626.0,
2020-04-20,9171161.0,37335.0,68680.0,12445.0,
2020-04-21,9169139.0,36713.0,71325.0,12238.0,
2020-04-22,9167235.0,36018.0,73923.0,12006.0,
2020-04-23,9165448.0,35260.0,76469.0,11753.0,
2020-04-24,9163773.0,34445.0,78958.0,11482.0,
2020-04-25,9162207.0,33581.0,81388.0,11194.0,
2020-04-26,9160745.0,32676.0,83755.0,10892.0,
2020-04-27,9159384.0,31737.0,86055.0,10579.0,
2020-04-28,9158118.0,30770.0,88288.0,10257.0,
2020-04-29,9156943.0,29783.0,90451.0,9928.0,
2020-04-30,9155854.0,28780.0,92542.0,9593.0,
2020-05-01,9154846.0,27768.0,94562.0,9256.0,
2020-05-02,9153915.0,26752.0,96509.0,8917.0,
2020-05-03,9153057.0,25736.0,98383.0,8579.0,
2020-05-04,9152266.0,24725.0,100186.0,8242.0,
2020-05-05,9151538.0,23723.0,101916.0,7908.0,
2020-05-06,9150869.0,22732.0,103575.0,7577.0,
2020-05-07,9150255.0,21757.0,105164.0,7252.0,
2020-05-08,9149693.0,20800.0,106683.0,6933.0,
2020-05-09,9149177.0,19863.0,108136.0,6621.0,
2020-05-10,9148706.0,18948.0,109522.0,6316.0,
2020-05-11,9148276.0,18057.0,110843.0,6019.0,
2020-05-12,9147883.0,17191.0,112102.0,5730.0,
2020-05-13,9147524.0,16352.0,113300.0,5451.0,
2020-05-14,9147198.0,15540.0,114438.0,5180.0,
2020-05-15,9146901.0,14755.0,115520.0,4918.0,
2020-05-16,9146630.0,13999.0,116547.0,4666.0,
2020-05-17,9146385.0,13271.0,117521.0,4424.0,
2020-05-18,9146162.0,12571.0,118443.0,4190.0,
2020-05-19,9145959.0,11900.0,119317.0,3967.0,
2020-05-20,9145776.0,11256.0,120144.0,3752.0,
2020-05-21,9145609.0,10641.0,120926.0,3547.0,
2020-05-22,9145459.0,10053.0,121665.0,3351.0,
2020-05-23,9145322.0,9491.0,122363.0,3164.0,
2020-05-24,9145199.0,8956.0,123021.0,2985.0,
2020-05-25,9145087.0,8446.0,123643.0,2815.0,
2020-05-26,9144986.0,7961.0,124228.0,2654.0,
2020-05-27,9144895.0,7500.0,124780.0,2500.0,
2020-05-28,9144813.0,7062.0,125300.0,2354.0,
2020-05-29,9144739.0,6647.0,125790.0,2216.0,
2020-05-30,9144672.0,6253.0,126250.0,2084.0,
2020-05-31,9144612.0,5880.0,126684.0,1960.0,
2020-06-01,9144558.0,5527.0,127091.0,1842.0,
2020-06-02,9144509.0,5193.0,127474.0,1731.0,
2020-06-03,9144465.0,4878.0,127833.0,1626.0,
2020-06-04,9144425.0,4580.0,128171.0,1527.0,
2020-06-05,9144390.0,4298.0,128488.0,1433.0,
2020-06-06,9144358.0,4033.0,128785.0,1344.0,
2020-06-07,9144329.0,3783.0,129064.0,1261.0,
2020-06-08,9144303.0,3547.0,129326.0,1182.0,
2020-06-09,9144280.0,3325.0,129571.0,1108.0,
2020-06-10,9144259.0,3116.0,129801.0,1039.0,
2020-06-11,9144240.0,2919.0,130017.0,973.0,
2020-06-12,9144223.0,2734.0,130219.0,911.0,
2020-06-13,9144208.0,2560.0,130408.0,853.0,
2020-06-14,9144195.0,2397.0,130585.0,799.0,
2020-06-15,9144183.0,2243.0,130750.0,748.0,
2020-06-16,9144172.0,2099.0,130905.0,700.0,
2020-06-17,9144162.0,1964.0,131050.0,655.0,
2020-06-18,9144153.0,1837.0,131186.0,612.0,
2020-06-19,9144145.0,1718.0,131313.0,573.0,
2020-06-20,9144138.0,1606.0,131432.0,535.0,
2020-06-21,9144132.0,1502.0,131543.0,501.0,
2020-06-22,9144126.0,1404.0,131646.0,468.0,
2020-06-23,9144121.0,1312.0,131743.0,437.0,
2020-06-24,9144117.0,1226.0,131834.0,409.0,
2020-06-25,9144113.0,1145.0,131918.0,382.0,
2020-06-26,9144109.0,1070.0,131997.0,357.0,
2020-06-27,9144106.0,999.0,132071.0,333.0,
2020-06-28,9144103.0,933.0,132140.0,311.0,
2020-06-29,9144100.0,871.0,132205.0,290.0,
2020-06-30,9144098.0,813.0,132265.0,271.0,
2020-07-01,9144096.0,759.0,132321.0,253.0,
2020-07-02,9144094.0,709.0,132373.0,236.0,
2020-07-03,9144092.0,661.0,132422.0,220.0,
2020-07-04,9144091.0,617.0,132468.0,206.0,
2020-07-05,9144089.0,576.0,132511.0,192.0,
2020-07-06,9144088.0,538.0,132550.0,179.0,
2020-07-07,9144087.0,501.0,132587.0,167.0,
2020-07-08,9144086.0,468.0,132622.0,156.0,
2020-07-09,9144085.0,436.0,132654.0,145.0,
2020-07-10,9144085.0,407.0,132684.0,136.0,
2020-07-11,9144084.0,380.0,132713.0,127.0,
2020-07-12,9144083.0,354.0,132739.0,118.0,
2020-07-13,9144083.0,330.0,132763.0,110.0,
2020-07-14,9144082.0,308.0,132786.0,103.0,
2020-07-15,9144082.0,287.0,132807.0,96.0,
2020-07-16,9144081.0,268.0,132827.0,89.0,
2020-07-17,9144081.0,250.0,132845.0,83.0,
2020-07-18,9144081.0,233.0,132863.0,78.0,
2020-07-19,9144080.0,217.0,132879.0,72.0,
2020-07-20,9144080.0,202.0,132894.0,67.0,
2020-07-21,9144080.0,188.0,132908.0,63.0,
2020-07-22,9144080.0,176.0,132921.0,59.0,
2020-07-23,9144080.0,164.0,132933.0,55.0,
2020-07-24,9144079.0,153.0,132944.0,51.0,
2020-07-25,9144079.0,142.0,132955.0,47.0,
2020-07-26,9144079.0,133.0,132964.0,44.0,
2020-07-27,9144079.0,123.0,132973.0,41.0,
2020-07-28,9144079.0,115.0,132982.0,38.0,
2020-07-29,9144079.0,107.0,132990.0,36.0,
2020-07-30,9144079.0,100.0,132997.0,33.0,
2020-07-31,9144079.0,93.0,133004.0,31.0,
2020-08-01,9144079.0,87.0,133011.0,29.0,
2020-08-02,9144079.0,81.0,133017.0,27.0,
2020-08-03,9144079.0,75.0,133022.0,25.0,
2020-08-04,9144078.0,70.0,133027.0,23.0,
2020-08-05,9144078.0,65.0,133032.0,22.0,
2020-08-06,9144078.0,61.0,133037.0,20.0,
2020-08-07,9144078.0,57.0,133041.0,19.0,
2020-08-08,9144078.0,53.0,133045.0,18.0,
2020-08-09,9144078.0,49.0,133048.0,16.0,
2020-08-10,9144078.0,46.0,133052.0,15.0,
2020-08-11,9144078.0,43.0,133055.0,14.0,
2020-08-12,9144078.0,40.0,133058.0,13.0,
2020-08-13,9144078.0,37.0,133061.0,12.0,
2020-08-14,9144078.0,35.0,133063.0,12.0,
2020-08-15,9144078.0,32.0,133066.0,11.0,
2020-08-16,9144078.0,30.0,133068.0,10.0,
2020-08-17,9144078.0,28.0,133070.0,9.0,
2020-08-18,9144078.0,26.0,133072.0,9.0,
2020-08-19,9144078.0,24.0,133074.0,8.0,
2020-08-20,9144078.0,23.0,133075.0,8.0,
2020-08-21,9144078.0,21.0,133077.0,7.0,
2020-08-22,9144078.0,20.0,133078.0,7.0,
2020-08-23,9144078.0,18.0,133080.0,6.0,
2020-08-24,9144078.0,17.0,133081.0,6.0,
2020-08-25,9144078.0,16.0,133082.0,5.0,
2020-08-26,9144078.0,15.0,133083.0,5.0,
2020-08-27,9144078.0,14.0,133084.0,5.0,
2020-08-28,9144078.0,13.0,133085.0,4.0,
2020-08-29,9144078.0,12.0,133086.0,4.0,
2020-08-30,9144078.0,11.0,133087.0,4.0,
2020-08-31,9144078.0,10.0,133088.0,3.0,
2020-09-01,9144078.0,10.0,133088.0,3.0,
2020-09-02,9144078.0,9.0,133089.0,3.0,
2020-09-03,9144078.0,8.0,133090.0,3.0,
2020-09-04,9144078.0,8.0,133090.0,3.0,
2020-09-05,9144078.0,7.0,133091.0,2.0,
