data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-23,5668642.0,2.0,0.0,1.0,
2020-02-24,5668641.0,3.0,0.0,1.0,0.0
2020-02-25,5668640.0,4.0,0.0,1.0,3.0
2020-02-26,5668638.0,6.0,1.0,2.0,3.0
2020-02-27,5668635.0,8.0,1.0,3.0,2.0
2020-02-28,5668631.0,11.0,2.0,4.0,2.0
2020-02-29,5668626.0,15.0,3.0,5.0,2.0
2020-03-01,5668619.0,21.0,4.0,7.0,7.0
2020-03-02,5668608.0,30.0,6.0,10.0,5.0
2020-03-03,5668594.0,42.0,8.0,14.0,6.0
2020-03-04,5668575.0,57.0,12.0,19.0,18.0
2020-03-05,5668550.0,77.0,17.0,26.0,18.0
2020-03-06,5668518.0,103.0,23.0,34.0,27.0
2020-03-07,5668477.0,135.0,32.0,45.0,38.0
2020-03-08,5668425.0,176.0,43.0,59.0,62.0
2020-03-09,5668361.0,226.0,57.0,75.0,71.0
2020-03-10,5668281.0,288.0,75.0,96.0,80.0
2020-03-11,5668184.0,362.0,98.0,121.0,118.0
2020-03-12,5668066.0,450.0,127.0,150.0,150.0
2020-03-13,5667926.0,555.0,163.0,185.0,169.0
2020-03-14,5667760.0,677.0,207.0,226.0,197.0
2020-03-15,5667566.0,817.0,260.0,272.0,254.0
2020-03-16,5667341.0,978.0,324.0,326.0,308.0
2020-03-17,5667082.0,1161.0,401.0,387.0,341.0
2020-03-18,5666787.0,1366.0,491.0,455.0,399.0
2020-03-19,5666454.0,1594.0,596.0,531.0,525.0
2020-03-20,5666080.0,1845.0,719.0,615.0,667.0
2020-03-21,5665664.0,2120.0,860.0,707.0,779.0
2020-03-22,5665204.0,2417.0,1022.0,806.0,923.0
2020-03-23,5664701.0,2737.0,1206.0,912.0,1024.0
2020-03-24,5664153.0,3078.0,1414.0,1026.0,1194.0
2020-03-25,5663560.0,3438.0,1646.0,1146.0,1348.0
2020-03-26,5662923.0,3816.0,1905.0,1272.0,1557.0
2020-03-27,5662243.0,4209.0,2192.0,1403.0,1654.0
2020-03-28,5661522.0,4615.0,2507.0,1538.0,1811.0
2020-03-29,5660761.0,5032.0,2851.0,1677.0,1912.0
2020-03-30,5659963.0,5455.0,3226.0,1818.0,2030.0
2020-03-31,5659131.0,5883.0,3631.0,1961.0,2149.0
2020-04-01,5658267.0,6311.0,4066.0,2104.0,2219.0
2020-04-02,5657375.0,6737.0,4532.0,2246.0,2324.0
2020-04-03,5656459.0,7157.0,5029.0,2386.0,2408.0
2020-04-04,5655522.0,7567.0,5554.0,2522.0,2515.0
2020-04-05,5654569.0,7966.0,6109.0,2655.0,2589.0
2020-04-06,5653603.0,8349.0,6692.0,2783.0,2634.0
2020-04-07,5652628.0,8715.0,7302.0,2905.0,2680.0
2020-04-08,5651648.0,9060.0,7937.0,3020.0,2733.0
2020-04-09,5650667.0,9381.0,8595.0,3127.0,2818.0
2020-04-10,5649689.0,9678.0,9276.0,3226.0,2843.0
2020-04-11,5648718.0,9949.0,9977.0,3316.0,2889.0
2020-04-12,5647756.0,10191.0,10697.0,3397.0,2933.0
2020-04-13,5646807.0,10404.0,11432.0,3468.0,2964.0
2020-04-14,5645874.0,10587.0,12182.0,3529.0,2971.0
2020-04-15,5644960.0,10740.0,12944.0,3580.0,
2020-04-16,5644066.0,10862.0,13716.0,3621.0,
2020-04-17,5643195.0,10953.0,14495.0,3651.0,
2020-04-18,5642349.0,11015.0,15280.0,3672.0,
2020-04-19,5641530.0,11046.0,16068.0,3682.0,
2020-04-20,5640738.0,11049.0,16857.0,3683.0,
2020-04-21,5639975.0,11024.0,17646.0,3675.0,
2020-04-22,5639241.0,10972.0,18431.0,3657.0,
2020-04-23,5638537.0,10894.0,19213.0,3631.0,
2020-04-24,5637864.0,10793.0,19987.0,3598.0,
2020-04-25,5637220.0,10670.0,20754.0,3557.0,
2020-04-26,5636608.0,10525.0,21511.0,3508.0,
2020-04-27,5636025.0,10362.0,22257.0,3454.0,
2020-04-28,5635472.0,10181.0,22991.0,3394.0,
2020-04-29,5634949.0,9984.0,23711.0,3328.0,
2020-04-30,5634454.0,9773.0,24417.0,3258.0,
2020-05-01,5633987.0,9550.0,25107.0,3183.0,
2020-05-02,5633547.0,9316.0,25781.0,3105.0,
2020-05-03,5633134.0,9073.0,26438.0,3024.0,
2020-05-04,5632745.0,8822.0,27077.0,2941.0,
2020-05-05,5632381.0,8565.0,27698.0,2855.0,
2020-05-06,5632040.0,8304.0,28300.0,2768.0,
2020-05-07,5631721.0,8039.0,28884.0,2680.0,
2020-05-08,5631424.0,7771.0,29449.0,2590.0,
2020-05-09,5631147.0,7503.0,29994.0,2501.0,
2020-05-10,5630889.0,7235.0,30520.0,2412.0,
2020-05-11,5630649.0,6968.0,31028.0,2323.0,
2020-05-12,5630426.0,6702.0,31516.0,2234.0,
2020-05-13,5630219.0,6440.0,31985.0,2147.0,
2020-05-14,5630027.0,6181.0,32436.0,2060.0,
2020-05-15,5629850.0,5926.0,32868.0,1975.0,
2020-05-16,5629686.0,5675.0,33283.0,1892.0,
2020-05-17,5629535.0,5430.0,33679.0,1810.0,
2020-05-18,5629395.0,5190.0,34058.0,1730.0,
2020-05-19,5629266.0,4957.0,34421.0,1652.0,
2020-05-20,5629148.0,4730.0,34767.0,1577.0,
2020-05-21,5629038.0,4509.0,35097.0,1503.0,
2020-05-22,5628938.0,4295.0,35411.0,1432.0,
2020-05-23,5628846.0,4088.0,35710.0,1363.0,
2020-05-24,5628761.0,3888.0,35995.0,1296.0,
2020-05-25,5628683.0,3695.0,36266.0,1232.0,
2020-05-26,5628612.0,3509.0,36523.0,1170.0,
2020-05-27,5628547.0,3330.0,36767.0,1110.0,
2020-05-28,5628487.0,3158.0,36999.0,1053.0,
2020-05-29,5628433.0,2993.0,37219.0,998.0,
2020-05-30,5628383.0,2835.0,37427.0,945.0,
2020-05-31,5628337.0,2683.0,37624.0,894.0,
2020-06-01,5628296.0,2538.0,37810.0,846.0,
2020-06-02,5628258.0,2400.0,37986.0,800.0,
2020-06-03,5628223.0,2268.0,38153.0,756.0,
2020-06-04,5628191.0,2142.0,38311.0,714.0,
2020-06-05,5628162.0,2022.0,38459.0,674.0,
2020-06-06,5628136.0,1908.0,38600.0,636.0,
2020-06-07,5628112.0,1800.0,38732.0,600.0,
2020-06-08,5628091.0,1697.0,38857.0,566.0,
2020-06-09,5628071.0,1599.0,38974.0,533.0,
2020-06-10,5628053.0,1506.0,39085.0,502.0,
2020-06-11,5628037.0,1418.0,39190.0,473.0,
2020-06-12,5628022.0,1334.0,39288.0,445.0,
2020-06-13,5628008.0,1255.0,39380.0,418.0,
2020-06-14,5627996.0,1180.0,39467.0,393.0,
2020-06-15,5627985.0,1110.0,39549.0,370.0,
2020-06-16,5627975.0,1043.0,39626.0,348.0,
2020-06-17,5627966.0,980.0,39698.0,327.0,
2020-06-18,5627958.0,920.0,39766.0,307.0,
2020-06-19,5627950.0,864.0,39830.0,288.0,
2020-06-20,5627943.0,811.0,39890.0,270.0,
2020-06-21,5627937.0,761.0,39946.0,254.0,
2020-06-22,5627932.0,714.0,39998.0,238.0,
2020-06-23,5627927.0,670.0,40048.0,223.0,
2020-06-24,5627922.0,628.0,40094.0,209.0,
2020-06-25,5627918.0,588.0,40138.0,196.0,
2020-06-26,5627914.0,552.0,40178.0,184.0,
2020-06-27,5627911.0,517.0,40216.0,172.0,
2020-06-28,5627908.0,484.0,40252.0,161.0,
2020-06-29,5627905.0,453.0,40286.0,151.0,
2020-06-30,5627903.0,424.0,40317.0,141.0,
2020-07-01,5627900.0,397.0,40346.0,132.0,
2020-07-02,5627898.0,372.0,40374.0,124.0,
2020-07-03,5627897.0,348.0,40399.0,116.0,
2020-07-04,5627895.0,326.0,40423.0,109.0,
2020-07-05,5627893.0,305.0,40446.0,102.0,
2020-07-06,5627892.0,285.0,40467.0,95.0,
2020-07-07,5627891.0,266.0,40487.0,89.0,
2020-07-08,5627890.0,249.0,40505.0,83.0,
2020-07-09,5627889.0,233.0,40522.0,78.0,
2020-07-10,5627888.0,218.0,40538.0,73.0,
2020-07-11,5627887.0,204.0,40553.0,68.0,
2020-07-12,5627886.0,190.0,40568.0,63.0,
2020-07-13,5627886.0,178.0,40581.0,59.0,
2020-07-14,5627885.0,166.0,40593.0,55.0,
2020-07-15,5627885.0,155.0,40604.0,52.0,
