data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,10060573.0,1.0,0.0,0.0,
2020-02-08,10060573.0,1.0,0.0,0.0,
2020-02-09,10060572.0,2.0,0.0,1.0,
2020-02-10,10060571.0,3.0,0.0,1.0,
2020-02-11,10060569.0,4.0,1.0,1.0,
2020-02-12,10060567.0,6.0,1.0,2.0,
2020-02-13,10060565.0,8.0,1.0,3.0,
2020-02-14,10060561.0,11.0,2.0,4.0,
2020-02-15,10060555.0,16.0,3.0,5.0,
2020-02-16,10060548.0,22.0,4.0,7.0,
2020-02-17,10060537.0,31.0,6.0,10.0,
2020-02-18,10060521.0,44.0,9.0,15.0,
2020-02-19,10060500.0,62.0,13.0,21.0,
2020-02-20,10060469.0,87.0,18.0,29.0,
2020-02-21,10060426.0,123.0,25.0,41.0,
2020-02-22,10060365.0,173.0,36.0,58.0,
2020-02-23,10060279.0,244.0,51.0,81.0,
2020-02-24,10060159.0,344.0,71.0,115.0,166.0
2020-02-25,10059992.0,481.0,101.0,160.0,231.0
2020-02-26,10059770.0,663.0,141.0,221.0,249.0
2020-02-27,10059478.0,899.0,197.0,300.0,349.0
2020-02-28,10059100.0,1203.0,271.0,401.0,474.0
2020-02-29,10058617.0,1587.0,370.0,529.0,552.0
2020-03-01,10058008.0,2066.0,500.0,689.0,887.0
2020-03-02,10057250.0,2656.0,668.0,885.0,1077.0
2020-03-03,10056319.0,3372.0,883.0,1124.0,1326.0
2020-03-04,10055189.0,4232.0,1153.0,1411.0,1497.0
2020-03-05,10053834.0,5250.0,1491.0,1750.0,1777.0
2020-03-06,10052225.0,6442.0,1907.0,2147.0,2008.0
2020-03-07,10050337.0,7821.0,2416.0,2607.0,2742.0
2020-03-08,10048144.0,9401.0,3029.0,3134.0,3372.0
2020-03-09,10045621.0,11190.0,3764.0,3730.0,4490.0
2020-03-10,10042747.0,13194.0,4633.0,4398.0,4427.0
2020-03-11,10039503.0,15417.0,5654.0,5139.0,5763.0
2020-03-12,10035874.0,17859.0,6841.0,5953.0,6896.0
2020-03-13,10031849.0,20515.0,8210.0,6838.0,7732.0
2020-03-14,10027422.0,23376.0,9776.0,7792.0,9059.0
2020-03-15,10022590.0,26430.0,11554.0,8810.0,10043.0
2020-03-16,10017358.0,29660.0,13556.0,9887.0,10861.0
2020-03-17,10011732.0,33047.0,15795.0,11016.0,12095.0
2020-03-18,10005728.0,36566.0,18280.0,12189.0,12266.0
2020-03-19,9999362.0,40191.0,21021.0,13397.0,13938.0
2020-03-20,9992658.0,43893.0,24024.0,14631.0,15420.0
2020-03-21,9985641.0,47641.0,27293.0,15880.0,17370.0
2020-03-22,9978341.0,51403.0,30830.0,17134.0,17885.0
2020-03-23,9970792.0,55146.0,34635.0,18382.0,18910.0
2020-03-24,9963029.0,58838.0,38707.0,19613.0,19868.0
2020-03-25,9955089.0,62446.0,43039.0,20815.0,20591.0
2020-03-26,9947009.0,65940.0,47625.0,21980.0,22189.0
2020-03-27,9938829.0,69290.0,52455.0,23097.0,23895.0
2020-03-28,9930586.0,72469.0,57519.0,24156.0,24509.0
2020-03-29,9922318.0,75452.0,62803.0,25151.0,25392.0
2020-03-30,9914062.0,78219.0,68293.0,26073.0,25006.0
2020-03-31,9905853.0,80749.0,73972.0,26916.0,25124.0
2020-04-01,9897724.0,83027.0,79823.0,27676.0,25765.0
2020-04-02,9889705.0,85042.0,85827.0,28347.0,25876.0
2020-04-03,9881825.0,86784.0,91965.0,28928.0,26189.0
2020-04-04,9874109.0,88247.0,98218.0,29416.0,27220.0
2020-04-05,9866580.0,89429.0,104565.0,29810.0,28124.0
2020-04-06,9859258.0,90330.0,110987.0,30110.0,28469.0
2020-04-07,9852159.0,90952.0,117463.0,30317.0,28343.0
2020-04-08,9845299.0,91302.0,123973.0,30434.0,28545.0
2020-04-09,9838689.0,91386.0,130499.0,30462.0,29074.0
2020-04-10,9832336.0,91215.0,137022.0,30405.0,29530.0
2020-04-11,9826249.0,90800.0,143524.0,30267.0,30258.0
2020-04-12,9820431.0,90154.0,149988.0,30051.0,31265.0
2020-04-13,9814884.0,89291.0,156398.0,29764.0,31935.0
2020-04-14,9809608.0,88226.0,162739.0,29409.0,32363.0
