data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-11,50290729.0,2.0,0.0,1.0,
2020-02-12,50290728.0,3.0,0.0,1.0,
2020-02-13,50290727.0,4.0,0.0,1.0,
2020-02-14,50290725.0,6.0,1.0,2.0,
2020-02-15,50290722.0,8.0,1.0,3.0,
2020-02-16,50290718.0,11.0,2.0,4.0,
2020-02-17,50290712.0,16.0,3.0,5.0,
2020-02-18,50290705.0,22.0,4.0,7.0,
2020-02-19,50290694.0,31.0,6.0,10.0,
2020-02-20,50290678.0,44.0,9.0,15.0,
2020-02-21,50290656.0,62.0,12.0,21.0,
2020-02-22,50290626.0,88.0,18.0,29.0,
2020-02-23,50290582.0,123.0,25.0,41.0,
2020-02-24,50290521.0,174.0,36.0,58.0,55.0
2020-02-25,50290435.0,245.0,51.0,82.0,80.0
2020-02-26,50290313.0,346.0,72.0,115.0,136.0
2020-02-27,50290142.0,488.0,101.0,163.0,239.0
2020-02-28,50289900.0,688.0,143.0,229.0,347.0
2020-02-29,50289567.0,963.0,201.0,321.0,497.0
2020-03-01,50289120.0,1329.0,282.0,443.0,690.0
2020-03-02,50288529.0,1808.0,394.0,603.0,758.0
2020-03-03,50287759.0,2428.0,544.0,809.0,937.0
2020-03-04,50286767.0,3219.0,745.0,1073.0,1209.0
2020-03-05,50285507.0,4215.0,1009.0,1405.0,1519.0
2020-03-06,50283925.0,5454.0,1353.0,1818.0,1908.0
2020-03-07,50281962.0,6975.0,1795.0,2325.0,2319.0
2020-03-08,50279553.0,8821.0,2357.0,2940.0,3015.0
2020-03-09,50276630.0,11037.0,3064.0,3679.0,3495.0
2020-03-10,50273120.0,13667.0,3943.0,4556.0,4087.0
2020-03-11,50268949.0,16755.0,5027.0,5585.0,4827.0
2020-03-12,50264040.0,20343.0,6349.0,6781.0,5943.0
2020-03-13,50258316.0,24469.0,7946.0,8156.0,7223.0
2020-03-14,50251705.0,29168.0,9858.0,9723.0,8691.0
2020-03-15,50244136.0,34468.0,12127.0,11489.0,10560.0
2020-03-16,50235544.0,40390.0,14797.0,13463.0,12212.0
2020-03-17,50225871.0,46948.0,17912.0,15649.0,13967.0
2020-03-18,50215067.0,54145.0,21519.0,18048.0,16444.0
2020-03-19,50203094.0,61975.0,25662.0,20658.0,19252.0
2020-03-20,50189922.0,70422.0,30387.0,23474.0,22440.0
2020-03-21,50175536.0,79458.0,35736.0,26486.0,25311.0
2020-03-22,50159932.0,89047.0,41751.0,29682.0,28753.0
2020-03-23,50143121.0,99141.0,48470.0,33047.0,31508.0
2020-03-24,50125125.0,109681.0,55925.0,36560.0,34162.0
2020-03-25,50105980.0,120603.0,64147.0,40201.0,36930.0
2020-03-26,50085737.0,131833.0,73161.0,43944.0,39824.0
2020-03-27,50064455.0,143290.0,82986.0,47763.0,42519.0
2020-03-28,50042207.0,154889.0,93635.0,51630.0,45556.0
2020-03-29,50019075.0,166542.0,105114.0,55514.0,48488.0
2020-03-30,49995148.0,178157.0,117426.0,59386.0,50522.0
2020-03-31,49970524.0,189645.0,130562.0,63215.0,52511.0
2020-04-01,49945305.0,200914.0,144512.0,66971.0,54807.0
2020-04-02,49919598.0,211876.0,159257.0,70625.0,57173.0
2020-04-03,49893511.0,222449.0,174771.0,74150.0,59199.0
2020-04-04,49867154.0,232553.0,191024.0,77518.0,61054.0
