data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,27748265.0,2.0,0.0,1.0,
2020-02-08,27748264.0,3.0,0.0,1.0,
2020-02-09,27748263.0,4.0,0.0,1.0,
2020-02-10,27748261.0,6.0,1.0,2.0,
2020-02-11,27748258.0,8.0,1.0,3.0,
2020-02-12,27748254.0,11.0,2.0,4.0,
2020-02-13,27748249.0,15.0,3.0,5.0,
2020-02-14,27748242.0,21.0,4.0,7.0,
2020-02-15,27748231.0,30.0,6.0,10.0,
2020-02-16,27748216.0,42.0,8.0,14.0,
2020-02-17,27748196.0,59.0,12.0,20.0,
2020-02-18,27748167.0,83.0,17.0,28.0,
2020-02-19,27748127.0,116.0,24.0,39.0,
2020-02-20,27748070.0,163.0,34.0,54.0,
2020-02-21,27747990.0,229.0,48.0,76.0,
2020-02-22,27747879.0,321.0,67.0,107.0,
2020-02-23,27747722.0,450.0,95.0,150.0,
2020-02-24,27747502.0,632.0,133.0,211.0,219.0
2020-02-25,27747200.0,880.0,186.0,293.0,304.0
2020-02-26,27746798.0,1208.0,261.0,403.0,379.0
2020-02-27,27746269.0,1636.0,361.0,545.0,576.0
2020-02-28,27745584.0,2186.0,497.0,729.0,797.0
2020-02-29,27744706.0,2884.0,677.0,961.0,1004.0
2020-03-01,27743596.0,3757.0,913.0,1252.0,1502.0
2020-03-02,27742211.0,4837.0,1219.0,1612.0,1751.0
2020-03-03,27740501.0,6156.0,1610.0,2052.0,2114.0
2020-03-04,27738414.0,7748.0,2105.0,2583.0,2485.0
2020-03-05,27735895.0,9648.0,2724.0,3216.0,2973.0
2020-03-06,27732887.0,11889.0,3491.0,3963.0,3490.0
2020-03-07,27729330.0,14505.0,4432.0,4835.0,4498.0
2020-03-08,27725166.0,17528.0,5573.0,5843.0,5608.0
2020-03-09,27720337.0,20984.0,6946.0,6995.0,7050.0
2020-03-10,27714788.0,24897.0,8582.0,8299.0,7406.0
2020-03-11,27708467.0,29286.0,10514.0,9762.0,9230.0
2020-03-12,27701329.0,34161.0,12777.0,11387.0,11127.0
2020-03-13,27693334.0,39527.0,15406.0,13176.0,12837.0
2020-03-14,27684450.0,45382.0,18435.0,15127.0,15062.0
2020-03-15,27674653.0,51714.0,21900.0,17238.0,17234.0
2020-03-16,27663929.0,58504.0,25834.0,19501.0,19254.0
2020-03-17,27652274.0,65724.0,30268.0,21908.0,21543.0
2020-03-18,27639695.0,73339.0,35233.0,24446.0,23445.0
2020-03-19,27626209.0,81305.0,40754.0,27102.0,26893.0
2020-03-20,27611842.0,89571.0,46855.0,29857.0,30373.0
2020-03-21,27596631.0,98081.0,53555.0,32694.0,34200.0
2020-03-22,27580624.0,106773.0,60871.0,35591.0,37022.0
