data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-19,15180442.0,2.0,0.0,1.0,
2020-02-20,15180441.0,3.0,0.0,1.0,
2020-02-21,15180440.0,4.0,0.0,1.0,
2020-02-22,15180438.0,6.0,1.0,2.0,
2020-02-23,15180435.0,8.0,1.0,3.0,
2020-02-24,15180431.0,11.0,2.0,4.0,0.0
2020-02-25,15180426.0,15.0,3.0,5.0,0.0
2020-02-26,15180419.0,21.0,4.0,7.0,0.0
2020-02-27,15180408.0,30.0,6.0,10.0,4.0
2020-02-28,15180393.0,42.0,8.0,14.0,8.0
2020-02-29,15180373.0,59.0,12.0,20.0,17.0
2020-03-01,15180346.0,81.0,17.0,27.0,21.0
2020-03-02,15180311.0,109.0,24.0,36.0,22.0
2020-03-03,15180265.0,147.0,33.0,49.0,38.0
2020-03-04,15180205.0,194.0,45.0,65.0,40.0
2020-03-05,15180129.0,254.0,61.0,85.0,60.0
2020-03-06,15180034.0,328.0,82.0,109.0,79.0
2020-03-07,15179916.0,420.0,108.0,140.0,91.0
2020-03-08,15179770.0,532.0,142.0,177.0,149.0
2020-03-09,15179593.0,666.0,185.0,222.0,179.0
2020-03-10,15179380.0,826.0,238.0,275.0,199.0
2020-03-11,15179126.0,1015.0,303.0,338.0,245.0
2020-03-12,15178825.0,1236.0,384.0,412.0,312.0
2020-03-13,15178473.0,1490.0,481.0,497.0,381.0
2020-03-14,15178064.0,1782.0,597.0,594.0,468.0
2020-03-15,15177594.0,2114.0,736.0,705.0,585.0
2020-03-16,15177057.0,2487.0,900.0,829.0,674.0
2020-03-17,15176449.0,2903.0,1093.0,968.0,875.0
2020-03-18,15175766.0,3362.0,1316.0,1121.0,938.0
2020-03-19,15175003.0,3867.0,1574.0,1289.0,1255.0
2020-03-20,15174159.0,4415.0,1869.0,1472.0,1506.0
2020-03-21,15173231.0,5007.0,2206.0,1669.0,1726.0
2020-03-22,15172217.0,5641.0,2586.0,1880.0,1955.0
2020-03-23,15171117.0,6315.0,3013.0,2105.0,2160.0
2020-03-24,15169930.0,7026.0,3489.0,2342.0,2327.0
2020-03-25,15168657.0,7770.0,4017.0,2590.0,2540.0
2020-03-26,15167301.0,8543.0,4599.0,2848.0,2769.0
2020-03-27,15165864.0,9342.0,5238.0,3114.0,3144.0
2020-03-28,15164350.0,10160.0,5934.0,3387.0,3466.0
2020-03-29,15162763.0,10992.0,6690.0,3664.0,3762.0
2020-03-30,15161107.0,11832.0,7505.0,3944.0,4134.0
2020-03-31,15159389.0,12675.0,8380.0,4225.0,4347.0
2020-04-01,15157614.0,13515.0,9316.0,4505.0,4567.0
2020-04-02,15155789.0,14344.0,10311.0,4781.0,4864.0
2020-04-03,15153922.0,15158.0,11364.0,5053.0,5210.0
2020-04-04,15152019.0,15950.0,12475.0,5317.0,5375.0
2020-04-05,15150088.0,16714.0,13642.0,5571.0,5603.0
2020-04-06,15148136.0,17446.0,14862.0,5815.0,5797.0
2020-04-07,15146170.0,18140.0,16134.0,6047.0,5900.0
2020-04-08,15144199.0,18792.0,17453.0,6264.0,6122.0
2020-04-09,15142229.0,19398.0,18817.0,6466.0,6214.0
2020-04-10,15140268.0,19954.0,20223.0,6651.0,6364.0
2020-04-11,15138321.0,20457.0,21666.0,6819.0,6477.0
2020-04-12,15136395.0,20905.0,23144.0,6968.0,6581.0
2020-04-13,15134496.0,21297.0,24651.0,7099.0,6635.0
2020-04-14,15132629.0,21630.0,26185.0,7210.0,6727.0
2020-04-15,15130799.0,21905.0,27740.0,7302.0,
2020-04-16,15129011.0,22121.0,29313.0,7374.0,
2020-04-17,15127268.0,22278.0,30899.0,7426.0,
2020-04-18,15125573.0,22377.0,32494.0,7459.0,
2020-04-19,15123931.0,22419.0,34094.0,7473.0,
2020-04-20,15122342.0,22406.0,35695.0,7469.0,
2020-04-21,15120810.0,22341.0,37294.0,7447.0,
2020-04-22,15119335.0,22224.0,38886.0,7408.0,
2020-04-23,15117918.0,22059.0,40467.0,7353.0,
2020-04-24,15116561.0,21848.0,42036.0,7283.0,
2020-04-25,15115262.0,21594.0,43588.0,7198.0,
2020-04-26,15114024.0,21301.0,45120.0,7100.0,
2020-04-27,15112844.0,20971.0,46630.0,6990.0,
2020-04-28,15111722.0,20607.0,48115.0,6869.0,
2020-04-29,15110658.0,20213.0,49573.0,6738.0,
2020-04-30,15109650.0,19792.0,51002.0,6597.0,
2020-05-01,15108697.0,19348.0,52400.0,6449.0,
2020-05-02,15107797.0,18882.0,53765.0,6294.0,
2020-05-03,15106949.0,18398.0,55097.0,6133.0,
2020-05-04,15106151.0,17900.0,56393.0,5967.0,
2020-05-05,15105401.0,17390.0,57653.0,5797.0,
2020-05-06,15104697.0,16870.0,58877.0,5623.0,
2020-05-07,15104038.0,16343.0,60063.0,5448.0,
2020-05-08,15103421.0,15811.0,61212.0,5270.0,
2020-05-09,15102845.0,15277.0,62322.0,5092.0,
2020-05-10,15102307.0,14743.0,63394.0,4914.0,
2020-05-11,15101805.0,14211.0,64428.0,4737.0,
2020-05-12,15101338.0,13682.0,65424.0,4561.0,
2020-05-13,15100904.0,13157.0,66383.0,4386.0,
2020-05-14,15100500.0,12640.0,67304.0,4213.0,
2020-05-15,15100126.0,12129.0,68189.0,4043.0,
2020-05-16,15099779.0,11628.0,69037.0,3876.0,
2020-05-17,15099457.0,11137.0,69850.0,3712.0,
2020-05-18,15099160.0,10656.0,70628.0,3552.0,
2020-05-19,15098885.0,10186.0,71373.0,3395.0,
2020-05-20,15098631.0,9729.0,72084.0,3243.0,
2020-05-21,15098397.0,9285.0,72763.0,3095.0,
2020-05-22,15098181.0,8853.0,73410.0,2951.0,
2020-05-23,15097982.0,8435.0,74028.0,2812.0,
2020-05-24,15097798.0,8030.0,74616.0,2677.0,
2020-05-25,15097630.0,7639.0,75175.0,2546.0,
2020-05-26,15097475.0,7262.0,75707.0,2421.0,
2020-05-27,15097333.0,6898.0,76213.0,2299.0,
2020-05-28,15097202.0,6549.0,76693.0,2183.0,
2020-05-29,15097082.0,6213.0,77149.0,2071.0,
2020-05-30,15096973.0,5890.0,77581.0,1963.0,
2020-05-31,15096872.0,5581.0,77991.0,1860.0,
2020-06-01,15096780.0,5286.0,78379.0,1762.0,
2020-06-02,15096696.0,5002.0,78746.0,1667.0,
2020-06-03,15096618.0,4732.0,79094.0,1577.0,
2020-06-04,15096548.0,4474.0,79422.0,1491.0,
2020-06-05,15096484.0,4227.0,79733.0,1409.0,
2020-06-06,15096425.0,3993.0,80026.0,1331.0,
2020-06-07,15096371.0,3769.0,80304.0,1256.0,
2020-06-08,15096322.0,3557.0,80565.0,1186.0,
2020-06-09,15096278.0,3354.0,80812.0,1118.0,
2020-06-10,15096237.0,3162.0,81045.0,1054.0,
2020-06-11,15096200.0,2980.0,81264.0,993.0,
2020-06-12,15096166.0,2807.0,81471.0,936.0,
2020-06-13,15096136.0,2643.0,81665.0,881.0,
2020-06-14,15096108.0,2488.0,81848.0,829.0,
2020-06-15,15096082.0,2341.0,82021.0,780.0,
2020-06-16,15096059.0,2202.0,82183.0,734.0,
2020-06-17,15096038.0,2070.0,82336.0,690.0,
2020-06-18,15096019.0,1946.0,82479.0,649.0,
2020-06-19,15096002.0,1829.0,82614.0,610.0,
2020-06-20,15095986.0,1718.0,82740.0,573.0,
2020-06-21,15095972.0,1613.0,82859.0,538.0,
2020-06-22,15095959.0,1514.0,82971.0,505.0,
2020-06-23,15095947.0,1421.0,83076.0,474.0,
2020-06-24,15095936.0,1334.0,83174.0,445.0,
2020-06-25,15095926.0,1251.0,83266.0,417.0,
2020-06-26,15095918.0,1173.0,83353.0,391.0,
2020-06-27,15095910.0,1100.0,83434.0,367.0,
2020-06-28,15095902.0,1031.0,83510.0,344.0,
2020-06-29,15095896.0,966.0,83582.0,322.0,
2020-06-30,15095890.0,906.0,83648.0,302.0,
2020-07-01,15095885.0,848.0,83711.0,283.0,
2020-07-02,15095880.0,794.0,83770.0,265.0,
2020-07-03,15095875.0,744.0,83825.0,248.0,
2020-07-04,15095871.0,697.0,83876.0,232.0,
2020-07-05,15095868.0,652.0,83924.0,217.0,
2020-07-06,15095865.0,610.0,83969.0,203.0,
2020-07-07,15095862.0,571.0,84011.0,190.0,
2020-07-08,15095859.0,534.0,84051.0,178.0,
2020-07-09,15095857.0,500.0,84088.0,167.0,
2020-07-10,15095854.0,467.0,84122.0,156.0,
2020-07-11,15095852.0,437.0,84155.0,146.0,
2020-07-12,15095851.0,409.0,84185.0,136.0,
2020-07-13,15095849.0,382.0,84213.0,127.0,
2020-07-14,15095848.0,357.0,84239.0,119.0,
2020-07-15,15095846.0,334.0,84264.0,111.0,
2020-07-16,15095845.0,312.0,84287.0,104.0,
2020-07-17,15095844.0,291.0,84309.0,97.0,
2020-07-18,15095843.0,272.0,84329.0,91.0,
2020-07-19,15095842.0,254.0,84347.0,85.0,
2020-07-20,15095841.0,237.0,84365.0,79.0,
2020-07-21,15095841.0,222.0,84381.0,74.0,
2020-07-22,15095840.0,207.0,84397.0,69.0,
2020-07-23,15095840.0,193.0,84411.0,64.0,
2020-07-24,15095839.0,181.0,84424.0,60.0,
2020-07-25,15095839.0,169.0,84437.0,56.0,
2020-07-26,15095838.0,157.0,84449.0,52.0,
2020-07-27,15095838.0,147.0,84459.0,49.0,
2020-07-28,15095837.0,137.0,84470.0,46.0,
2020-07-29,15095837.0,128.0,84479.0,43.0,
2020-07-30,15095837.0,119.0,84488.0,40.0,
2020-07-31,15095837.0,111.0,84496.0,37.0,
2020-08-01,15095836.0,104.0,84504.0,35.0,
2020-08-02,15095836.0,97.0,84511.0,32.0,
2020-08-03,15095836.0,90.0,84518.0,30.0,
2020-08-04,15095836.0,84.0,84524.0,28.0,
2020-08-05,15095836.0,79.0,84530.0,26.0,
2020-08-06,15095835.0,73.0,84535.0,24.0,
2020-08-07,15095835.0,68.0,84540.0,23.0,
2020-08-08,15095835.0,64.0,84545.0,21.0,
2020-08-09,15095835.0,60.0,84549.0,20.0,
2020-08-10,15095835.0,56.0,84553.0,19.0,
2020-08-11,15095835.0,52.0,84557.0,17.0,
2020-08-12,15095835.0,48.0,84561.0,16.0,
2020-08-13,15095835.0,45.0,84564.0,15.0,
2020-08-14,15095835.0,42.0,84567.0,14.0,
2020-08-15,15095835.0,39.0,84570.0,13.0,
2020-08-16,15095835.0,36.0,84573.0,12.0,
2020-08-17,15095835.0,34.0,84575.0,11.0,
2020-08-18,15095835.0,32.0,84578.0,11.0,
2020-08-19,15095835.0,30.0,84580.0,10.0,
2020-08-20,15095834.0,28.0,84582.0,9.0,
2020-08-21,15095834.0,26.0,84584.0,9.0,
2020-08-22,15095834.0,24.0,84586.0,8.0,
2020-08-23,15095834.0,22.0,84587.0,7.0,
2020-08-24,15095834.0,21.0,84589.0,7.0,
2020-08-25,15095834.0,19.0,84590.0,6.0,
2020-08-26,15095834.0,18.0,84592.0,6.0,
2020-08-27,15095834.0,17.0,84593.0,6.0,
2020-08-28,15095834.0,16.0,84594.0,5.0,
2020-08-29,15095834.0,15.0,84595.0,5.0,
2020-08-30,15095834.0,14.0,84596.0,5.0,
2020-08-31,15095834.0,13.0,84597.0,4.0,
2020-09-01,15095834.0,12.0,84598.0,4.0,
2020-09-02,15095834.0,11.0,84599.0,4.0,
2020-09-03,15095834.0,10.0,84599.0,3.0,
2020-09-04,15095834.0,10.0,84600.0,3.0,
2020-09-05,15095834.0,9.0,84601.0,3.0,
