data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,60479998.0,2.0,0.0,1.0,
2020-02-08,60479997.0,3.0,0.0,1.0,
2020-02-09,60479996.0,4.0,0.0,1.0,
2020-02-10,60479994.0,6.0,1.0,2.0,
2020-02-11,60479991.0,8.0,1.0,3.0,
2020-02-12,60479987.0,11.0,2.0,4.0,
2020-02-13,60479981.0,16.0,3.0,5.0,
2020-02-14,60479974.0,22.0,4.0,7.0,
2020-02-15,60479963.0,31.0,6.0,10.0,
2020-02-16,60479947.0,44.0,9.0,15.0,
2020-02-17,60479925.0,62.0,12.0,21.0,
2020-02-18,60479895.0,88.0,18.0,29.0,
2020-02-19,60479851.0,123.0,25.0,41.0,
2020-02-20,60479790.0,174.0,36.0,58.0,
2020-02-21,60479704.0,245.0,51.0,82.0,
2020-02-22,60479582.0,346.0,72.0,115.0,
2020-02-23,60479411.0,488.0,101.0,163.0,
2020-02-24,60479169.0,688.0,143.0,229.0,221.0
2020-02-25,60478836.0,963.0,201.0,321.0,311.0
2020-02-26,60478389.0,1329.0,282.0,443.0,385.0
2020-02-27,60477798.0,1808.0,394.0,603.0,588.0
2020-02-28,60477028.0,2428.0,544.0,809.0,821.0
2020-02-29,60476036.0,3219.0,745.0,1073.0,1049.0
2020-03-01,60474776.0,4215.0,1009.0,1405.0,1577.0
2020-03-02,60473194.0,5454.0,1353.0,1818.0,1835.0
2020-03-03,60471230.0,6975.0,1795.0,2325.0,2263.0
2020-03-04,60468822.0,8822.0,2357.0,2941.0,2706.0
2020-03-05,60465898.0,11038.0,3064.0,3679.0,3296.0
2020-03-06,60462388.0,13668.0,3943.0,4556.0,3916.0
2020-03-07,60458216.0,16757.0,5027.0,5586.0,5061.0
2020-03-08,60453306.0,20345.0,6349.0,6782.0,6387.0
2020-03-09,60447581.0,24472.0,7946.0,8157.0,7985.0
2020-03-10,60440969.0,29173.0,9859.0,9724.0,8514.0
2020-03-11,60433397.0,34475.0,12128.0,11492.0,10590.0
2020-03-12,60424802.0,40400.0,14799.0,13467.0,12839.0
2020-03-13,60415124.0,46961.0,17915.0,15654.0,14955.0
2020-03-14,60404314.0,54163.0,21523.0,18054.0,17750.0
2020-03-15,60392333.0,61999.0,25668.0,20666.0,20603.0
2020-03-16,60379152.0,70454.0,30394.0,23485.0,23073.0
2020-03-17,60364754.0,79500.0,35746.0,26500.0,26062.0
2020-03-18,60349135.0,89101.0,41765.0,29700.0,28710.0
2020-03-19,60332304.0,99208.0,48487.0,33069.0,33190.0
2020-03-20,60314286.0,109766.0,55948.0,36589.0,37860.0
2020-03-21,60295114.0,120709.0,64177.0,40236.0,42681.0
2020-03-22,60274839.0,131962.0,73200.0,43987.0,46638.0
2020-03-23,60253520.0,143446.0,83034.0,47815.0,50418.0
2020-03-24,60231228.0,155076.0,93695.0,51692.0,54030.0
2020-03-25,60208046.0,166764.0,105190.0,55588.0,57521.0
2020-03-26,60184063.0,178419.0,117518.0,59473.0,62013.0
2020-03-27,60159376.0,189949.0,130675.0,63316.0,66414.0
2020-03-28,60134087.0,201265.0,144648.0,67088.0,70065.0
2020-03-29,60108302.0,212278.0,159420.0,70759.0,73880.0
2020-03-30,60082130.0,222906.0,174965.0,74302.0,75528.0
2020-03-31,60055680.0,233067.0,191252.0,77689.0,77635.0
2020-04-01,60029062.0,242690.0,208247.0,80897.0,80572.0
2020-04-02,60002383.0,251709.0,225908.0,83903.0,83049.0
2020-04-03,59975746.0,260064.0,244190.0,86688.0,85388.0
2020-04-04,59949252.0,267705.0,263043.0,89235.0,88274.0
2020-04-05,59922995.0,274590.0,282415.0,91530.0,91246.0
2020-04-06,59897064.0,280685.0,302251.0,93562.0,93187.0
2020-04-07,59871540.0,285966.0,322494.0,95322.0,94067.0
2020-04-08,59846499.0,290417.0,343084.0,96806.0,95262.0
2020-04-09,59822009.0,294029.0,363962.0,98010.0,96877.0
2020-04-10,59798129.0,296803.0,385068.0,98934.0,98273.0
2020-04-11,59774913.0,298745.0,406342.0,99582.0,100269.0
2020-04-12,59752404.0,299870.0,427726.0,99957.0,102253.0
2020-04-13,59730639.0,300198.0,449162.0,100066.0,103616.0
2020-04-14,59709650.0,299756.0,470594.0,99919.0,104291.0
2020-04-15,59689460.0,298573.0,491967.0,99524.0,105418.0
2020-04-16,59670084.0,296686.0,513230.0,98895.0,106607.0
2020-04-17,59651533.0,294132.0,534335.0,98044.0,106962.0
2020-04-18,59633812.0,290954.0,555234.0,96985.0,107771.0
2020-04-19,59616921.0,287193.0,575886.0,95731.0,
2020-04-20,59600854.0,282897.0,596249.0,94299.0,
2020-04-21,59585602.0,278110.0,616288.0,92703.0,
2020-04-22,59571151.0,272880.0,635968.0,90960.0,
2020-04-23,59557486.0,267253.0,655261.0,89084.0,
2020-04-24,59544586.0,261275.0,674139.0,87092.0,
2020-04-25,59532430.0,254991.0,692579.0,84997.0,
2020-04-26,59520994.0,248445.0,710560.0,82815.0,
2020-04-27,59510254.0,241680.0,728066.0,80560.0,
2020-04-28,59500182.0,234736.0,745082.0,78245.0,
2020-04-29,59490751.0,227653.0,761596.0,75884.0,
2020-04-30,59481933.0,220466.0,777601.0,73489.0,
2020-05-01,59473700.0,213210.0,793090.0,71070.0,
2020-05-02,59466024.0,205917.0,808059.0,68639.0,
2020-05-03,59458876.0,198618.0,822506.0,66206.0,
2020-05-04,59452227.0,191339.0,836433.0,63780.0,
2020-05-05,59446052.0,184106.0,849842.0,61369.0,
2020-05-06,59440322.0,176942.0,862736.0,58981.0,
2020-05-07,59435012.0,169867.0,875121.0,56622.0,
2020-05-08,59430096.0,162899.0,887005.0,54300.0,
2020-05-09,59425550.0,156054.0,898395.0,52018.0,
2020-05-10,59421350.0,149348.0,909302.0,49783.0,
2020-05-11,59417474.0,142791.0,919734.0,47597.0,
2020-05-12,59413900.0,136396.0,929704.0,45465.0,
2020-05-13,59410607.0,130169.0,939224.0,43390.0,
2020-05-14,59407577.0,124119.0,948304.0,41373.0,
2020-05-15,59404790.0,118251.0,956959.0,39417.0,
2020-05-16,59402229.0,112570.0,965202.0,37523.0,
2020-05-17,59399877.0,107078.0,973045.0,35693.0,
2020-05-18,59397720.0,101777.0,980503.0,33926.0,
2020-05-19,59395742.0,96669.0,987589.0,32223.0,
2020-05-20,59393930.0,91753.0,994317.0,30584.0,
2020-05-21,59392271.0,87028.0,1000701.0,29009.0,
2020-05-22,59390753.0,82492.0,1006754.0,27497.0,
2020-05-23,59389366.0,78144.0,1012490.0,26048.0,
2020-05-24,59388098.0,73980.0,1017922.0,24660.0,
2020-05-25,59386940.0,69997.0,1023063.0,23332.0,
2020-05-26,59385883.0,66191.0,1027926.0,22064.0,
2020-05-27,59384919.0,62558.0,1032523.0,20853.0,
2020-05-28,59384040.0,59093.0,1036867.0,19698.0,
2020-05-29,59383239.0,55792.0,1040969.0,18597.0,
2020-05-30,59382509.0,52650.0,1044841.0,17550.0,
2020-05-31,59381845.0,49661.0,1048494.0,16554.0,
2020-06-01,59381241.0,46820.0,1051939.0,15607.0,
2020-06-02,59380691.0,44122.0,1055186.0,14707.0,
2020-06-03,59380192.0,41563.0,1058245.0,13854.0,
2020-06-04,59379738.0,39135.0,1061127.0,13045.0,
2020-06-05,59379325.0,36835.0,1063839.0,12278.0,
2020-06-06,59378951.0,34657.0,1066392.0,11552.0,
2020-06-07,59378611.0,32596.0,1068793.0,10865.0,
2020-06-08,59378303.0,30646.0,1071051.0,10215.0,
2020-06-09,59378023.0,28804.0,1073174.0,9601.0,
2020-06-10,59377769.0,27063.0,1075168.0,9021.0,
2020-06-11,59377539.0,25419.0,1077042.0,8473.0,
2020-06-12,59377331.0,23867.0,1078802.0,7956.0,
2020-06-13,59377142.0,22404.0,1080454.0,7468.0,
2020-06-14,59376971.0,21025.0,1082004.0,7008.0,
2020-06-15,59376816.0,19725.0,1083459.0,6575.0,
2020-06-16,59376676.0,18500.0,1084824.0,6167.0,
2020-06-17,59376549.0,17347.0,1086104.0,5782.0,
2020-06-18,59376435.0,16262.0,1087304.0,5421.0,
2020-06-19,59376331.0,15241.0,1088428.0,5080.0,
2020-06-20,59376237.0,14280.0,1089482.0,4760.0,
2020-06-21,59376152.0,13378.0,1090470.0,4459.0,
2020-06-22,59376076.0,12529.0,1091395.0,4176.0,
2020-06-23,59376007.0,11732.0,1092261.0,3911.0,
2020-06-24,59375944.0,10984.0,1093072.0,3661.0,
2020-06-25,59375888.0,10281.0,1093831.0,3427.0,
2020-06-26,59375836.0,9622.0,1094542.0,3207.0,
2020-06-27,59375790.0,9003.0,1095207.0,3001.0,
2020-06-28,59375749.0,8422.0,1095829.0,2807.0,
2020-06-29,59375711.0,7878.0,1096411.0,2626.0,
2020-06-30,59375677.0,7368.0,1096955.0,2456.0,
2020-07-01,59375647.0,6889.0,1097464.0,2296.0,
2020-07-02,59375619.0,6441.0,1097940.0,2147.0,
2020-07-03,59375594.0,6021.0,1098385.0,2007.0,
2020-07-04,59375572.0,5627.0,1098801.0,1876.0,
2020-07-05,59375552.0,5259.0,1099189.0,1753.0,
2020-07-06,59375533.0,4914.0,1099553.0,1638.0,
2020-07-07,59375517.0,4591.0,1099892.0,1530.0,
2020-07-08,59375502.0,4289.0,1100209.0,1430.0,
2020-07-09,59375489.0,4006.0,1100505.0,1335.0,
2020-07-10,59375477.0,3742.0,1100782.0,1247.0,
2020-07-11,59375466.0,3494.0,1101040.0,1165.0,
2020-07-12,59375456.0,3263.0,1101281.0,1088.0,
2020-07-13,59375447.0,3046.0,1101506.0,1015.0,
2020-07-14,59375439.0,2844.0,1101717.0,948.0,
2020-07-15,59375432.0,2655.0,1101913.0,885.0,
2020-07-16,59375426.0,2478.0,1102096.0,826.0,
2020-07-17,59375420.0,2313.0,1102267.0,771.0,
2020-07-18,59375415.0,2158.0,1102427.0,719.0,
2020-07-19,59375410.0,2014.0,1102576.0,671.0,
2020-07-20,59375406.0,1879.0,1102715.0,626.0,
2020-07-21,59375402.0,1753.0,1102845.0,584.0,
2020-07-22,59375398.0,1636.0,1102966.0,545.0,
2020-07-23,59375395.0,1526.0,1103078.0,509.0,
2020-07-24,59375393.0,1424.0,1103184.0,475.0,
2020-07-25,59375390.0,1328.0,1103282.0,443.0,
2020-07-26,59375388.0,1239.0,1103374.0,413.0,
2020-07-27,59375386.0,1155.0,1103459.0,385.0,
2020-07-28,59375384.0,1077.0,1103539.0,359.0,
2020-07-29,59375382.0,1005.0,1103613.0,335.0,
2020-07-30,59375381.0,937.0,1103682.0,312.0,
2020-07-31,59375380.0,873.0,1103747.0,291.0,
2020-08-01,59375378.0,814.0,1103807.0,271.0,
2020-08-02,59375377.0,759.0,1103863.0,253.0,
2020-08-03,59375376.0,708.0,1103916.0,236.0,
2020-08-04,59375375.0,660.0,1103965.0,220.0,
2020-08-05,59375375.0,615.0,1104010.0,205.0,
2020-08-06,59375374.0,573.0,1104053.0,191.0,
2020-08-07,59375373.0,535.0,1104092.0,178.0,
2020-08-08,59375373.0,498.0,1104129.0,166.0,
2020-08-09,59375372.0,464.0,1104163.0,155.0,
2020-08-10,59375372.0,433.0,1104195.0,144.0,
2020-08-11,59375371.0,403.0,1104225.0,134.0,
2020-08-12,59375371.0,376.0,1104253.0,125.0,
2020-08-13,59375371.0,350.0,1104279.0,117.0,
2020-08-14,59375370.0,326.0,1104303.0,109.0,
2020-08-15,59375370.0,304.0,1104326.0,101.0,
2020-08-16,59375370.0,283.0,1104347.0,94.0,
2020-08-17,59375370.0,264.0,1104366.0,88.0,
2020-08-18,59375369.0,246.0,1104384.0,82.0,
2020-08-19,59375369.0,229.0,1104401.0,76.0,
2020-08-20,59375369.0,214.0,1104417.0,71.0,
2020-08-21,59375369.0,199.0,1104432.0,66.0,
2020-08-22,59375369.0,185.0,1104446.0,62.0,
2020-08-23,59375369.0,173.0,1104459.0,58.0,
2020-08-24,59375369.0,161.0,1104470.0,54.0,
