data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,10060573.0,1.0,0.0,0.0,
2020-02-08,10060573.0,1.0,0.0,0.0,
2020-02-09,10060572.0,2.0,0.0,1.0,
2020-02-10,10060571.0,3.0,0.0,1.0,
2020-02-11,10060569.0,4.0,1.0,1.0,
2020-02-12,10060567.0,6.0,1.0,2.0,
2020-02-13,10060565.0,8.0,1.0,3.0,
2020-02-14,10060561.0,11.0,2.0,4.0,
2020-02-15,10060555.0,16.0,3.0,5.0,
2020-02-16,10060548.0,22.0,4.0,7.0,
2020-02-17,10060537.0,31.0,6.0,10.0,
2020-02-18,10060521.0,44.0,9.0,15.0,
2020-02-19,10060500.0,62.0,13.0,21.0,
2020-02-20,10060469.0,87.0,18.0,29.0,
2020-02-21,10060426.0,123.0,25.0,41.0,
2020-02-22,10060365.0,173.0,36.0,58.0,
2020-02-23,10060279.0,244.0,51.0,81.0,
2020-02-24,10060159.0,344.0,71.0,115.0,166.0
2020-02-25,10059992.0,481.0,101.0,160.0,231.0
2020-02-26,10059770.0,663.0,141.0,221.0,249.0
2020-02-27,10059478.0,899.0,197.0,300.0,349.0
2020-02-28,10059100.0,1203.0,271.0,401.0,474.0
2020-02-29,10058616.0,1588.0,370.0,529.0,552.0
2020-03-01,10058006.0,2067.0,500.0,689.0,887.0
2020-03-02,10057248.0,2658.0,668.0,886.0,1077.0
2020-03-03,10056316.0,3375.0,883.0,1125.0,1326.0
2020-03-04,10055184.0,4236.0,1154.0,1412.0,1497.0
2020-03-05,10053826.0,5256.0,1492.0,1752.0,1777.0
2020-03-06,10052214.0,6451.0,1909.0,2150.0,2008.0
2020-03-07,10050322.0,7834.0,2418.0,2611.0,2742.0
2020-03-08,10048122.0,9419.0,3033.0,3140.0,3372.0
2020-03-09,10045592.0,11214.0,3768.0,3738.0,4490.0
2020-03-10,10042708.0,13226.0,4640.0,4409.0,4427.0
2020-03-11,10039453.0,15458.0,5663.0,5153.0,5763.0
2020-03-12,10035809.0,17911.0,6854.0,5970.0,6896.0
2020-03-13,10031767.0,20580.0,8227.0,6860.0,7732.0
2020-03-14,10027318.0,23457.0,9799.0,7819.0,9059.0
2020-03-15,10022462.0,26529.0,11583.0,8843.0,10043.0
2020-03-16,10017201.0,29780.0,13593.0,9927.0,10861.0
2020-03-17,10011543.0,33190.0,15841.0,11063.0,12095.0
2020-03-18,10005502.0,36735.0,18337.0,12245.0,12266.0
2020-03-19,9999094.0,40388.0,21091.0,13463.0,13938.0
2020-03-20,9992344.0,44121.0,24109.0,14707.0,15420.0
2020-03-21,9985276.0,47903.0,27395.0,15968.0,17370.0
2020-03-22,9977921.0,51700.0,30953.0,17233.0,17885.0
2020-03-23,9970312.0,55481.0,34781.0,18494.0,18910.0
2020-03-24,9962484.0,59212.0,38877.0,19737.0,19868.0
2020-03-25,9954475.0,62861.0,43238.0,20954.0,20591.0
2020-03-26,9946322.0,66397.0,47855.0,22132.0,22189.0
2020-03-27,9938065.0,69789.0,52720.0,23263.0,23895.0
2020-03-28,9929742.0,73011.0,57821.0,24337.0,24509.0
2020-03-29,9921391.0,76038.0,63145.0,25346.0,25392.0
2020-03-30,9913049.0,78847.0,68678.0,26282.0,25006.0
2020-03-31,9904752.0,81419.0,74403.0,27140.0,25124.0
2020-04-01,9896533.0,83738.0,80303.0,27913.0,25765.0
2020-04-02,9888423.0,85792.0,86360.0,28597.0,25876.0
2020-04-03,9880450.0,87571.0,92553.0,29190.0,26189.0
2020-04-04,9872641.0,89070.0,98863.0,29690.0,27220.0
2020-04-05,9865019.0,90285.0,105270.0,30095.0,28124.0
2020-04-06,9857604.0,91216.0,111754.0,30405.0,28469.0
2020-04-07,9850414.0,91866.0,118294.0,30622.0,28343.0
2020-04-08,9843462.0,92240.0,124871.0,30747.0,28545.0
2020-04-09,9836762.0,92347.0,131465.0,30782.0,29074.0
2020-04-10,9830322.0,92195.0,138058.0,30732.0,29530.0
2020-04-11,9824148.0,91796.0,144630.0,30599.0,30258.0
2020-04-12,9818246.0,91162.0,151166.0,30387.0,31265.0
2020-04-13,9812617.0,90309.0,157648.0,30103.0,31935.0
2020-04-14,9807262.0,89250.0,164062.0,29750.0,32363.0
