data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-11,50290729.0,2.0,0.0,1.0,
2020-02-12,50290728.0,3.0,0.0,1.0,
2020-02-13,50290727.0,4.0,0.0,1.0,
2020-02-14,50290725.0,6.0,1.0,2.0,
2020-02-15,50290722.0,8.0,1.0,3.0,
2020-02-16,50290718.0,11.0,2.0,4.0,
2020-02-17,50290712.0,16.0,3.0,5.0,
2020-02-18,50290705.0,22.0,4.0,7.0,
2020-02-19,50290694.0,31.0,6.0,10.0,
2020-02-20,50290678.0,44.0,9.0,15.0,
2020-02-21,50290656.0,62.0,12.0,21.0,
2020-02-22,50290626.0,88.0,18.0,29.0,
2020-02-23,50290582.0,123.0,25.0,41.0,
2020-02-24,50290521.0,174.0,36.0,58.0,55.0
2020-02-25,50290435.0,245.0,51.0,82.0,80.0
2020-02-26,50290313.0,346.0,72.0,115.0,136.0
2020-02-27,50290142.0,488.0,101.0,163.0,239.0
2020-02-28,50289900.0,688.0,143.0,229.0,347.0
2020-02-29,50289567.0,963.0,201.0,321.0,497.0
2020-03-01,50289122.0,1327.0,282.0,442.0,690.0
2020-03-02,50288536.0,1802.0,393.0,601.0,758.0
2020-03-03,50287774.0,2414.0,543.0,805.0,937.0
2020-03-04,50286800.0,3190.0,742.0,1063.0,1209.0
2020-03-05,50285567.0,4161.0,1003.0,1387.0,1519.0
2020-03-06,50284029.0,5360.0,1342.0,1787.0,1908.0
2020-03-07,50282134.0,6822.0,1775.0,2274.0,2319.0
2020-03-08,50279824.0,8583.0,2323.0,2861.0,3015.0
2020-03-09,50277042.0,10679.0,3009.0,3560.0,3495.0
2020-03-10,50273728.0,13145.0,3858.0,4382.0,4087.0
2020-03-11,50269821.0,16014.0,4897.0,5338.0,4827.0
2020-03-12,50265261.0,19314.0,6156.0,6438.0,5943.0
2020-03-13,50259992.0,23072.0,7667.0,7691.0,7223.0
2020-03-14,50253960.0,27308.0,9463.0,9103.0,8691.0
2020-03-15,50247117.0,32034.0,11580.0,10678.0,10560.0
2020-03-16,50239423.0,37257.0,14051.0,12419.0,12212.0
2020-03-17,50230843.0,42974.0,16914.0,14325.0,13967.0
2020-03-18,50221354.0,49175.0,20202.0,16392.0,16444.0
2020-03-19,50210941.0,55840.0,23950.0,18613.0,19252.0
2020-03-20,50199599.0,62942.0,28190.0,20981.0,22440.0
2020-03-21,50187336.0,70444.0,32951.0,23481.0,25311.0
2020-03-22,50174169.0,78300.0,38262.0,26100.0,28753.0
2020-03-23,50160127.0,86460.0,44144.0,28820.0,31508.0
2020-03-24,50145247.0,94865.0,50619.0,31622.0,34162.0
2020-03-25,50129580.0,103450.0,57701.0,34483.0,36930.0
2020-03-26,50113182.0,112149.0,65400.0,37383.0,39824.0
2020-03-27,50096118.0,120890.0,73723.0,40297.0,42519.0
2020-03-28,50078461.0,129601.0,82669.0,43200.0,45556.0
2020-03-29,50060287.0,138209.0,92235.0,46070.0,48488.0
2020-03-30,50041678.0,146643.0,102409.0,48881.0,50522.0
2020-03-31,50022719.0,154834.0,113178.0,51611.0,52511.0
2020-04-01,50003496.0,162714.0,124521.0,54238.0,54807.0
2020-04-02,49984094.0,170223.0,136414.0,56741.0,57173.0
2020-04-03,49964599.0,177304.0,148829.0,59101.0,59199.0
2020-04-04,49945093.0,183906.0,161732.0,61302.0,61054.0
