Data,molise
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,4.85
2020-03-08,4.86
2020-03-09,3.31
2020-03-10,1.56
2020-03-11,1.23
2020-03-12,1.34
2020-03-13,1.49
2020-03-14,1.32
2020-03-15,1.16
2020-03-16,1.2
2020-03-17,1.0
2020-03-18,1.37
2020-03-19,1.7
2020-03-20,3.39
2020-03-21,3.27
2020-03-22,3.68
2020-03-23,1.69
2020-03-24,1.86
2020-03-25,1.31
2020-03-26,1.28
2020-03-27,2.36
2020-03-28,2.45
2020-03-29,3.05
2020-03-30,1.7
2020-03-31,1.76
2020-04-01,1.59
2020-04-02,1.72
2020-04-03,1.74
2020-04-04,1.7
2020-04-05,1.89
2020-04-06,1.86
2020-04-07,1.87
2020-04-08,1.26
2020-04-09,1.0
2020-04-10,1.04
2020-04-11,1.11
2020-04-12,1.28
2020-04-13,1.17
2020-04-14,1.09
2020-04-15,1.16
2020-04-16,1.01
