Data,nord,centro,sud,isole
2020-03-01,4.21,5.87,0.1,0.1
2020-03-02,3.99,5.43,0.1,0.1
2020-03-03,4.06,6.93,0.1,0.1
2020-03-04,3.6,6.63,5.26,3.2
2020-03-05,3.28,5.91,4.36,4.06
2020-03-06,3.17,5.48,3.52,5.39
2020-03-07,2.7,4.84,3.45,3.7
2020-03-08,2.88,5.06,4.19,5.2
2020-03-09,2.95,4.38,3.44,5.62
2020-03-10,2.98,3.87,3.99,3.49
2020-03-11,2.89,3.44,3.4,4.14
2020-03-12,2.94,3.28,3.29,3.86
2020-03-13,2.8,3.14,3.47,3.74
2020-03-14,2.66,3.03,2.87,3.0
2020-03-15,2.5,3.16,2.92,3.13
2020-03-16,2.69,3.12,3.14,3.31
2020-03-17,2.48,3.09,3.13,2.8
2020-03-18,2.33,2.95,2.99,2.64
2020-03-19,2.24,2.84,2.99,2.88
2020-03-20,2.17,2.61,2.95,2.96
2020-03-21,2.13,2.45,2.89,2.86
2020-03-22,2.12,2.49,2.88,2.83
2020-03-23,2.09,2.43,2.61,2.99
2020-03-24,2.07,2.24,2.67,2.89
2020-03-25,1.93,2.11,2.24,2.65
2020-03-26,1.8,1.96,2.05,2.42
2020-03-27,1.7,1.89,2.0,2.37
2020-03-28,1.67,1.78,1.95,2.17
2020-03-29,1.61,1.77,1.93,2.14
2020-03-30,1.58,1.76,1.96,1.95
2020-03-31,1.49,1.66,1.98,1.82
2020-04-01,1.4,1.57,1.91,1.65
2020-04-02,1.33,1.53,1.75,1.59
2020-04-03,1.29,1.46,1.68,1.5
2020-04-04,1.24,1.38,1.65,1.47
2020-04-05,1.29,1.34,1.52,1.43
2020-04-06,1.3,1.32,1.51,1.37
2020-04-07,1.28,1.29,1.48,1.35
2020-04-08,1.25,1.22,1.39,1.29
2020-04-09,1.23,1.17,1.32,1.27
2020-04-10,1.19,1.15,1.29,1.21
2020-04-11,1.15,1.13,1.26,1.18
2020-04-12,1.15,1.1,1.22,1.19
2020-04-13,1.17,1.09,1.22,1.18
2020-04-14,1.18,1.1,1.16,1.17
2020-04-15,1.16,1.11,1.16,1.11
2020-04-16,1.16,1.12,1.13,1.08
2020-04-17,1.14,1.1,1.11,1.07
2020-04-18,1.1,1.11,1.07,1.05
2020-04-19,1.08,1.09,1.06,1.05
2020-04-20,1.09,1.07,1.04,1.05
2020-04-21,1.05,1.08,1.05,1.08
2020-04-22,1.02,1.04,1.01,1.08
