Data,nord,centro,sud,isole,nolombardia,lombardia
2020-02-28,5.5,4.7,1.0,1.0,5.6,3.5
2020-02-29,5.9,5.1,1.0,1.0,5.9,3.2
2020-03-01,5.1,7.1,1.0,1.0,5.3,4.2
2020-03-02,4.3,7.0,5.3,3.3,4.5,3.8
2020-03-03,3.4,6.0,4.9,3.8,3.6,3.6
2020-03-04,3.0,5.6,3.1,5.6,3.2,3.9
2020-03-05,2.6,5.1,3.6,1.0,2.9,2.8
2020-03-06,2.9,5.8,4.2,5.2,3.3,2.6
2020-03-07,3.1,4.7,3.2,6.0,3.4,2.4
2020-03-08,3.0,4.2,4.3,3.5,3.3,3.0
2020-03-09,2.9,3.7,3.7,4.7,3.1,3.2
2020-03-10,2.8,3.5,3.3,4.2,3.0,3.6
2020-03-11,2.7,3.1,3.6,3.8,2.9,2.9
2020-03-12,2.5,2.9,2.7,3.2,2.6,2.8
2020-03-13,2.7,3.0,2.8,3.2,2.8,2.4
2020-03-14,2.8,3.1,3.2,3.5,2.9,2.8
2020-03-15,2.8,3.3,3.2,2.8,3.0,2.5
2020-03-16,2.7,3.3,3.0,2.8,2.9,2.2
2020-03-17,2.6,3.0,3.1,2.8,2.7,2.1
2020-03-18,2.6,2.7,2.8,2.8,2.6,1.9
2020-03-19,2.5,2.4,2.9,2.5,2.5,1.8
2020-03-20,2.4,2.6,3.0,2.8,2.5,1.9
2020-03-21,2.5,2.5,2.7,3.1,2.6,1.8
2020-03-22,2.4,2.4,3.0,3.2,2.4,2.1
2020-03-23,2.3,2.3,2.5,2.9,2.3,1.8
2020-03-24,2.1,2.0,2.2,2.5,2.1,1.7
2020-03-25,2.0,1.9,2.0,2.4,2.0,1.4
2020-03-26,1.8,1.8,1.9,2.3,1.8,1.5
2020-03-27,1.7,1.8,1.8,2.4,1.8,1.5
2020-03-28,1.7,1.8,2.0,2.1,1.7,1.6
2020-03-29,1.6,1.7,2.0,2.0,1.7,1.6
2020-03-30,1.6,1.7,2.0,1.7,1.6,1.4
2020-03-31,1.5,1.6,1.9,1.7,1.6,1.2
2020-04-01,1.4,1.5,1.7,1.5,1.5,1.1
2020-04-02,1.4,1.4,1.7,1.5,1.4,1.0
2020-04-03,1.4,1.4,1.5,1.4,1.4,1.1
2020-04-04,1.4,1.4,1.6,1.4,1.4,1.2
2020-04-05,1.4,1.3,1.5,1.4,1.4,1.2
2020-04-06,1.3,1.2,1.5,1.3,1.3,1.3
2020-04-07,1.3,1.2,1.3,1.3,1.3,1.3
2020-04-08,1.3,1.2,1.3,1.2,1.3,1.1
2020-04-09,1.2,1.2,1.3,1.2,1.2,1.1
2020-04-10,1.2,1.1,1.2,1.2,1.2,1.1
2020-04-11,1.2,1.1,1.3,1.2,1.2,1.1
2020-04-12,1.2,1.1,1.2,1.2,1.2,1.2
2020-04-13,1.2,1.1,1.2,1.1,1.1,1.2
2020-04-14,1.1,1.1,1.1,1.1,1.1,1.3
2020-04-15,1.1,1.1,1.1,1.1,1.1,1.2
2020-04-16,1.1,1.1,1.1,1.0,1.1,1.2
2020-04-17,1.1,1.1,1.1,1.0,1.1,1.1
