date,t,s,i,r
2020-02-24,0,59999337.0,663.0,0.0
2020-02-25,1,59999039.043883495,923.4794983339101,37.476618192105455
2020-02-26,2,59998642.59929463,1268.1160901845203,89.28461520733096
2020-02-27,3,59998122.41287147,1717.673837941901,159.91329060354383
2020-02-28,4,59997448.95848987,2296.124702265144,254.91680787528404
2020-02-29,5,59996588.26644232,3030.665763725293,381.0677939744536
2020-03-01,6,59995501.87240145,3951.618581378857,546.5090171861218
2020-03-02,7,59994146.905910335,5092.196893153953,760.8971965356307
2020-03-03,8,59992476.33357769,6488.134024997922,1035.532397332723
2020-03-04,9,59990439.36567871,8177.1679905007295,1383.466330809835
2020-03-05,10,59987982.028273605,10198.388926338901,1819.5828000842807
2020-03-06,11,59985047.89501012,12591.460964648855,2360.6440252497673
2020-03-07,12,59981578.96529015,15395.737423199387,3025.297286673822
2020-03-08,13,59977516.6681148,18649.29449904382,3834.0373861825833
2020-03-09,14,59972802.96458202,22387.9136793445,4809.121738658966
2020-03-10,15,59967381.51671552,26644.046827261172,5974.436457231788
2020-03-11,16,59961198.88667545,31445.799863996293,7355.313460569078
2020-03-12,17,59954205.728463955,36815.97119998204,8978.300336077507
2020-03-13,18,59946357.933980376,42771.179602567325,10870.88641706534
2020-03-14,19,59937617.696942955,49321.112961207335,13061.190095846598
2020-03-15,20,59927954.461345285,56467.92486450563,15577.613790219655
2020-03-16,21,59917345.72540615,64205.80051722364,18448.474076645052
2020-03-17,22,59905777.67837657,72520.70604349322,21701.615579952824
2020-03-18,23,59893245.65311859,81390.32949249363,25364.01738893383
2020-03-19,24,59879754.38448944,90784.21420301517,29461.401307563352
2020-03-20,25,59865318.07069562,100664.07842439035,34017.8508800143
2020-03-21,26,59849960.24084917,110984.30927649447,39055.44987436427
2020-03-22,27,59833713.43841523,121692.61349167596,44593.948093117135
2020-03-23,28,59816618.73530771,132730.8032117983,50650.461480510996
2020-03-24,29,59798725.09576957,144035.69185656172,57239.21237389163
2020-03-25,30,59780088.612499,155540.07300358923,64371.31449743419
2020-03-26,31,59760771.63961686,167173.75437747964,72054.60600568118
2020-03-27,32,59740841.848484516,178864.6190109011,80293.5325046069
2020-03-28,33,59720371.232302964,190539.68696707246,89089.08072998642
2020-03-29,34,59699435.08493637,202126.1527645146,98438.76229913415
2020-03-30,35,59678110.977857575,213552.37631185132,108336.64583059974
2020-03-31,36,59656477.7570652,224748.80816781457,118773.43476700493
2020-04-01,37,59634614.5791599,235648.83350759983,129736.58733252106
2020-04-02,38,59612600.00353519,246189.52187977266,141210.47458506227
2020-04-03,39,59590511.15389465,256312.27432723515,153176.57177813933
2020-04-04,40,59568422.959147036,265963.363147707,165613.67770528843
2020-04-05,41,59546407.480432786,275094.3621548285,178498.15741241432
2020-04-06,42,59524533.3319325,283662.46530067077,191804.20276685525
2020-04-07,43,59502865.19423563,291630.7003347794,205504.10542962098
2020-04-08,44,59481463.41984789,298968.04228400893,219568.53786812894
2020-04-09,45,59460383.73187737,305649.43081308104,233966.83730957555
2020-04-10,46,59439677.00864869,311655.70295760443,248667.28839373006
2020-04-11,47,59419389.14908958,316973.44988786406,263637.4010225842
2020-04-12,48,59399561.014762335,321594.8057131388,278844.17952455406
2020-04-13,49,59380228.438948624,325517.18050977634,294254.3805416277
2020-04-14,50,59361422.29713264,328742.94624686724,309834.7566205217
