date,t,s,i,r
2020-02-24,0,59999337.0,663.0,0.0
2020-02-25,1,59999084.91965996,860.960685283723,54.119654772879386
2020-02-26,2,59998757.57419909,1118.0273260259073,124.39847490295931
2020-02-27,3,59998332.49265032,1451.8462162235815,215.66113347225607
2020-02-28,4,59997780.49615447,1885.33115099598,334.1726945425851
2020-02-29,5,59997063.6961479,2448.235278472992,488.06857364190114
2020-03-01,6,59996132.89575161,3179.1914911251706,687.9127572684363
2020-03-02,7,59994924.21647856,4128.360959025368,947.4225624308069
2020-03-03,8,59993354.72006963,5360.870418863418,1284.4095115240186
2020-03-04,9,59991352.37633661,6926.404328363543,1721.2193350272928
2020-03-05,10,59988855.937755,8861.374875369234,2282.6873696328366
2020-03-06,11,59985773.53243889,11229.039504838438,2997.428056276108
2020-03-07,12,59982003.287007995,14097.946457508511,3898.7665344955385
2020-03-08,13,59977433.65758706,17541.248889984305,5025.093522955948
2020-03-09,14,59971944.06065084,21635.776772363035,6420.162576804179
2020-03-10,15,59965405.82002488,26460.867745205822,8133.312229919952
2020-03-11,16,59957683.43225833,32096.971030997433,10219.596710671289
2020-03-12,17,59948636.145501554,38624.045355191636,12739.809143247097
2020-03-13,18,59938119.83098326,46119.78485250014,15760.384164242012
2020-03-14,19,59925989.115482256,54657.715781468454,19353.168736277723
2020-03-15,20,59912099.73188107,64305.21413735775,23595.053981578978
2020-03-16,21,59896311.03404741,75121.50171153077,28567.464241066205
2020-03-17,22,59878488.614393726,87155.68154139849,34355.70406488294
2020-03-18,23,59858506.95661908,100444.87528404142,41048.16809689292
2020-03-19,24,59836252.05076981,115012.52574527543,48735.4234849192
2020-03-20,25,59811623.89844275,130866.92276709227,57509.17879015533
2020-03-21,26,59784538.84030636,148000.00291747082,67461.15677617176
2020-03-22,27,59754931.635517105,166386.4713785802,78681.89310431494
2020-03-23,28,59722757.23738627,185983.27806826506,91259.48454546553
2020-03-24,29,59687992.214831226,206729.4719074111,105278.31326135636
2020-03-25,30,59650635.78146246,228546.44400171048,120817.77453582846
2020-03-26,31,59610710.404825814,251338.55945468272,137951.03571949474
2020-03-27,32,59568261.9849015,274994.16121504427,156743.85388344692
2020-03-28,33,59523359.59885053,299386.92351329984,177253.47763615396
2020-03-29,34,59476094.82558668,324377.5172195668,199527.6571937463
2020-03-30,35,59426580.673886284,349815.54302065854,223603.78309303924
2020-03-31,36,59374950.14792989,375541.6809305673,249508.1711395215
2020-04-01,37,59321354.493354045,401389.9997301516,277255.5069157834
2020-04-02,38,59265961.17345285,427190.3674037542,306848.45914338174
2020-04-03,39,59208951.630110994,452770.9031464708,338277.46674251923
2020-04-04,40,59150518.88374536,477960.41328133876,371520.7029732894
2020-04-05,41,59090865.03787096,502590.7549899969,406544.2071390191
2020-04-06,42,59030198.73412633,526499.0813301252,443302.18454352615
2020-04-07,43,58968732.61966253,549529.9197433885,481737.4605940653
2020-04-08,44,58906680.87374576,571537.0509182359,521782.07533598674
2020-04-09,45,58844256.83621928,592385.1592474023,563358.0045333009
2020-04-10,46,58781670.77995548,611951.2294303348,606377.9906141692
2020-04-11,47,58719127.85644438,630125.680423712,650746.463131891
2020-04-12,48,58656826.23714652,646813.2323199944,696360.5305334734
2020-04-13,49,58594955.47453118,661933.5005164804,743111.0249523262
2020-04-14,50,58533695.08972266,675421.3308037536,790883.5794735701
2020-04-15,51,58473213.39356942,687226.8859812713,839559.7204493003
2020-04-16,52,58413666.54197145,697315.4999755376,889017.9580529948
2020-04-17,53,58355197.81071778,705667.3316325812,939134.8576496276
2020-04-18,54,58297937.1062899,712276.8119218838,989786.081788198
2020-04-19,55,58242000.665412664,717151.9502038008,1040847.3843835207
2020-04-20,56,58187490.95875751,720313.4897697752,1092195.5514726976
2020-04-21,57,58134496.75940845,721793.9629214667,1143709.277670071
2020-04-22,58,58083093.37007241,721636.6576362712,1195269.9722913082
2020-04-23,59,58033342.98679658,719894.5251575696,1246762.4880458396
2020-04-24,60,57985295.175774716,716629.0528103102,1298075.7714149642
2020-04-25,61,57938987.44986891,711909.1182671222,1349103.4318639524
2020-04-26,62,57894445.92232041,705809.8491714457,1399744.2285081358
2020-04-27,63,57851686.02099121,698411.5024511145,1449902.476557659
2020-04-28,64,57810713.24789581,689798.3776503729,1499488.3744538012
2020-04-29,65,57771523.96684694,680057.7780224874,1548418.2551305566
2020-04-30,66,57734106.20624308,669279.0281398627,1596614.7656170414
2020-05-01,67,57698440.46474338,657552.5565412347,1644006.9787153623
2020-05-02,68,57664500.51477458,644969.046573049,1690530.4386523487
2020-05-03,69,57632254.18071139,631618.6643815804,1736127.1549070156
2020-05-04,70,57601664.10102825,617590.3631090635,1780745.5358626687
2020-05-05,71,57572688.45449079,602971.2616693756,1824340.2838398246
2020-05-06,72,57545281.65407243,587846.105881568,1866872.2400459868
2020-05-07,73,57519395.00072261,572296.7974134409,1908308.2018639334
2020-05-08,74,57494977.29353554,556402.0046555267,1948620.7018089192
2020-05-09,75,57471975.39929227,540236.8333000203,1987787.7674077
2020-05-10,76,57450334.77295988,523872.5721622498,2025792.6548778594
2020-05-11,77,57429999.93761499,507376.49168432725,2062623.5707006627
2020-05-12,78,57410914.91522383,490811.70659164793,2098273.378184509
2020-05-13,79,57393023.617551625,474237.0846374369,2132739.297810923
2020-05-14,80,57376270.19157797,457707.2066107099,2166022.6018113038
2020-05-15,81,57360599.32629208,441272.3659353063,2198128.307772595
2020-05-16,82,57345956.51965166,424978.60667422746,2229064.8736740956
2020-05-17,83,57332288.30906636,408867.7944272598,2258843.8965063556
2020-05-18,84,57319542.46849121,392977.7141410211,2287479.817367748
2020-05-19,85,57307668.17204982,377342.1938550313,2314989.634095133
2020-05-20,86,57296616.13053821,361991.2458127877,2341392.623648986
2020-05-21,87,57286338.69826302,346951.22650377196,2366710.075233194
2020-05-22,88,57276789.95835266,332245.0066631824,2390965.0349841365
2020-05-23,89,57267925.78285463,317892.15337358124,2414182.0637717694
2020-05-24,90,57259703.87574579,303909.116785544,2436387.0074686534
2020-05-25,91,57252083.795653276,290309.4226124358,2457606.781734274
2020-05-26,92,57245026.966144904,277103.8649303088,2477869.1689247657
2020-05-27,93,57238496.66824271,264300.700512222,2497202.631245051
2020-05-28,94,57232458.02391096,251905.84043222552,2515636.135656796
2020-05-29,95,57226877.96908228,239923.03812284325,2533198.9927948527
2020-05-30,96,57221725.216569826,228354.07289915852,2549920.7105309935
