date,t,s,i,r
2020-02-24,0,59999337.0,663.0,0.0
2020-02-25,1,59999039.91710926,922.6248555475745,37.458035194504674
2020-02-26,2,59998644.92350717,1265.8815921850692,89.19490065139983
2020-02-27,3,59998126.97596023,1713.3533336867981,159.6707060853277
2020-02-28,4,59997456.79989335,2288.7990628534108,254.4010437997165
2020-02-29,5,59996600.71837777,3019.172529842866,380.1090923814511
2020-03-01,6,59995520.598528825,3934.525531871008,544.875939297083
2020-03-02,7,59994173.93497401,5067.781770784725,758.2832551947349
2020-03-03,8,59992514.08524591,6454.372813844771,1031.5419402341888
2020-03-04,9,59990490.66611031,8131.733797937315,1377.600091750114
2020-03-05,10,59988050.112922944,10138.663379332424,1811.2236977177977
2020-03-06,11,59985136.39672653,12514.55944886598,2349.0438245953055
2020-03-07,12,59981691.88621711,15298.548974970367,3009.5648079085713
2020-03-08,13,59977658.334825486,18528.536197033234,3813.1289774745565
2020-03-09,14,59972977.96613856,22240.199201333427,4781.834660114025
2020-03-10,15,59967594.62670412,26465.967456102437,5939.405839773944
2020-03-11,16,59961454.97080278,31234.01582238106,7311.0133748346425
2020-03-12,17,59954509.6397958,36567.310781974506,8923.04942221498
2020-03-13,18,59946714.39933933,42482.74233993708,10802.858320726704
2020-03-14,19,59938031.197277,48990.37385104134,12978.428871948832
2020-03-15,20,59928429.11024565,56092.83556615187,15478.05418818159
2020-03-16,21,59917885.149689384,63784.88373717688,18329.966573425936
2020-03-17,22,59906384.904558025,72053.1398324109,21561.955609557896
2020-03-18,23,59893923.00350611,80876.01823839927,25200.9782554872
2020-03-19,24,59880503.38612674,90223.84373560816,29272.770137645417
2020-03-20,25,59866139.37972385,100059.15334650672,33801.466929636306
2020-03-21,26,59850853.58527285,110337.17079534256,38809.24393179888
2020-03-22,27,59834677.58017898,121006.43748482496,44315.9823361801
2020-03-23,28,59817651.4526095,132009.5785928989,50338.96879759055
2020-03-24,29,59799823.18585555,143284.17995668537,56892.63418775314
2020-03-25,30,59781247.91446684,154763.7493501273,63988.3361830273
2020-03-26,31,59761987.07594442,166378.73482846984,71634.18922710154
2020-03-27,32,59742107.483612224,178057.5726772329,79834.94371053268
2020-03-28,33,59721680.346673526,189727.73802490058,88591.91530156898
2020-03-29,34,59700780.261959106,201316.77449377114,97902.96354712095
2020-03-30,35,59679484.20070891,212753.28027035497,107762.51902073069
2020-03-31,36,59657870.51332856,223967.83081926763,118161.65585216676
2020-04-01,37,59636017.97063149,234893.82313311833,129088.2062353875
2020-04-02,38,59614004.85762135,245468.22935068066,140526.9130279594
2020-04-03,39,59591908.13496268,255632.2489498881,152459.61608742282
2020-04-04,40,59569802.67769197,265331.8553223599,164865.46698566357
2020-04-05,41,59547760.598269805,274518.2345972431,177721.16713294195
2020-04-06,42,59525850.66016113,283148.1154880399,191001.22435081823
2020-04-07,43,59504137.78548442,291183.99191151926,204678.22260405272
2020-04-08,44,59482682.649330564,298594.25100475334,218723.09966467222
2020-04-09,45,59461541.37130667,305353.1996068981,233105.42908641734
2020-04-10,46,59440765.288196765,311441.01089153794,247793.7009116827
2020-04-11,47,59420400.811859496,316843.5898854462,262755.59825504746
2020-04-12,48,59400489.35881617,321552.3755888276,277958.2655949945
2020-04-13,49,59381067.35047255,325564.0828598098,293368.56666763284
2020-04-14,50,59362166.27351149,328880.3981461575,308953.328342343
2020-04-15,51,59343812.793070406,331507.63753267063,324679.5693969114
2020-04-16,52,59326028.911992684,333456.3756341745,340514.7123731397
2020-04-17,53,59308832.1680257,334741.05497764103,356426.77699665044
2020-04-18,54,59292235.8614501,335379.58369419264,372384.55485570553
2020-04-19,55,59276249.3071151,335392.92814474844,388357.7647401508
2020-04-20,56,59260878.10381332,334804.7076510943,404317.1885355847
2020-04-21,57,59246124.414616495,333640.7970959153,420234.78828759084
2020-04-22,58,59231987.25559164,331928.9403879002,436083.80402046
2020-04-23,59,59218462.7850061,329698.38083453005,451838.8341593675
2020-04-24,60,59205544.590952665,326979.51080171764,467475.8982456155
2020-04-25,61,59193223.97341018,323803.5426082051,482972.4839816068
2020-04-26,62,59181490.21799376,320202.20334510354,498307.57866112416
2020-04-27,63,59170330.85915244,316207.45369001554,513461.68715752783
2020-04-28,64,59159731.93045047,311851.2329418467,528416.8366076718
2020-04-29,65,59149678.20143247,307165.22853095655,543156.5700365761
2020-04-30,66,59140153.39892318,302180.6718766976,557665.9292001144
2020-05-01,67,59131140.41341536,296928.15791043034,571931.4286742008
2020-05-02,68,59122621.488772966,291437.48966061714,585941.021566411
2020-05-03,69,59114578.396715425,285737.5445872221,599684.058697346
2020-05-04,70,59106992.59463273,279856.1637032529,613151.2416640079
2020-05-05,71,59099845.368716255,273820.05993979797,626334.5713439436
2020-05-06,72,59093117.961265385,267654.7464355697,639227.2922990371
2020-05-07,73,59086791.68438258,261384.48127953123,651823.8343378879
2020-05-08,74,59080848.01916083,255032.22913698398,664119.7517021841
2020-05-09,75,59075268.703081444,248619.63599597922,676111.6609225741
2020-05-10,76,59070035.804439425,242167.01786990158,687797.1776906755
2020-05-11,77,59065131.78518349,235693.36146356398,699174.8533529472
2020-05-12,78,59060539.5544485,229216.3337514986,710244.1117999975
2020-05-13,79,59056242.5127418,222752.2999112903,721005.1873469118
2020-05-14,80,59052224.5858665,216316.3510984653,731459.0630350311
2020-05-15,81,59048470.25293424,209922.33615547797,741607.4109102784
2020-05-16,82,59044964.56569383,203582.90075006636,751452.5335561053
2020-05-17,83,59041693.16253436,197309.52958603817,760997.3078796001
2020-05-18,84,59038642.27712701,191112.59178269503,770245.1310902927
2020-05-19,85,59035798.74088992,185001.39061047797,779199.8684996025
2020-05-20,86,59033149.982577175,178984.21336146002,787865.8040613639
2020-05-21,87,59030684.02306725,173068.38372588996,796247.593206868
2020-05-22,88,59028389.46764476,167260.31414887786,804350.2182063716
2020-05-23,89,59026255.49522758,161565.5587549539,812178.9460174647
2020-05-24,90,59024271.845425814,155988.86589478835,819739.288679401
2020-05-25,91,59022428.80378397,150534.2299922653,827036.9662237668
2020-05-26,92,59020717.18537849,145204.94263387006,834077.87198764
2020-05-27,93,59019128.31745859,140003.6422899163,840868.0402514962
2020-05-28,94,59017654.02096462,134932.3626955769,847413.6163397975
2020-05-29,95,59016286.59155065,129992.57948384211,853720.8289655084
2020-05-30,96,59015018.78012468,125185.25513141719,859795.9647438972
2020-05-31,97,59013843.77320519,120510.88204471392,865645.3447500934
2020-06-01,98,59012755.17322556,115969.52366639125,871275.3031080492
2020-06-02,99,59011746.97886319,111560.85354232052,876692.1675944884
2020-06-03,100,59010813.56571578,107284.19243920459,881902.2418450057
2020-06-04,101,59009949.667201325,103138.5433540433,886911.7894446264
2020-06-05,102,59009150.35588502,99122.62451219781,891727.0196027721
2020-06-06,103,59008411.025279455,95234.90039392703,896354.0743266062
2020-06-07,104,59007727.37221108,91473.610712355,900799.0170765549
2020-06-08,105,59007095.3797445,87836.7975868712,905067.8226686151
2020-06-09,106,59006511.30073253,84322.33081147703,909166.3684559788
2020-06-10,107,59005971.64201258,80927.93124935037,913100.426738057
2020-06-11,108,59005473.149202935,77651.1926323606,916875.65816469
2020-06-12,109,59005012.79223437,74489.60157964096,920497.6061859786
2020-06-13,110,59004587.75151443,71440.5560869815,923971.6923985848
2020-06-14,111,59004195.40472676,68501.38257668092,927303.2126965545
2020-06-15,112,59003833.31435033,65669.3513644056,930497.3342852617
2020-06-16,113,59003499.21575275,62941.690917609085,933559.0933296335
2020-06-17,114,59003191.00594758,60315.60077749549,936493.3932749158
2020-06-18,115,59002906.73298211,57788.26325303472,939305.0037648573
2020-06-19,116,59002644.58585966,55356.85407808882,941998.5600622544
