date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-02-24,0,221.0,221.0,221.0,221.0,221.0
2020-02-25,1,286.9868950945743,286.9868950945743,286.9868950945743,286.9868950945743,311.0
2020-02-26,2,372.6757753419691,372.6757753419691,372.6757753419691,372.6757753419691,385.0
2020-02-27,3,483.94873874119384,483.94873874119384,483.94873874119384,483.94873874119384,588.0
2020-02-28,4,628.44371699866,628.44371699866,628.44371699866,628.44371699866,821.0
2020-02-29,5,816.0784192760289,816.0784192760289,816.0784192760289,816.0784192760289,1049.0
2020-03-01,6,1054.4554400554432,1054.4554400554432,1054.4554400554432,1054.4554400554432,1577.0
2020-03-02,7,1349.1935408984705,1349.1935408984705,1349.1935408984705,1349.1935408984705,1835.0
2020-03-03,8,1710.0009247977125,1710.0009247977125,1710.0009247977125,1710.0009247977125,2263.0
2020-03-04,9,2147.4202952837986,2147.4202952837986,2147.4202952837986,2147.4202952837986,2706.0
2020-03-05,10,2672.730693147689,2672.730693147689,2672.730693147689,2672.730693147689,3296.0
2020-03-06,11,3297.8127390740233,3297.8127390740233,3297.8127390740233,3297.8127390740233,3916.0
2020-03-07,12,4034.977523290429,4034.977523290429,4034.977523290429,4034.977523290429,5061.0
2020-03-08,13,4896.760701361031,4896.760701361031,4896.760701361031,4896.760701361031,6387.0
2020-03-09,14,5895.68499674302,5895.68499674302,5895.68499674302,5895.68499674302,7985.0
2020-03-10,15,7043.9958136606665,7043.9958136606665,7043.9958136606665,7043.9958136606665,8514.0
2020-03-11,16,8353.376194499591,8353.376194499591,8353.376194499591,8353.376194499591,10590.0
2020-03-12,17,9834.648332128068,9834.648332128068,9834.648332128068,9834.648332128068,12839.0
2020-03-13,18,11497.470021566756,11497.470021566756,11497.470021566756,11497.470021566756,14955.0
2020-03-14,19,13350.035034534087,13350.035034534087,13350.035034534087,13350.035034534087,17750.0
2020-03-15,20,15398.786446448872,15398.786446448872,15398.786446448872,15398.786446448872,20603.0
2020-03-16,21,17648.152648026276,17648.152648026276,17648.152648026276,17648.152648026276,23073.0
2020-03-17,22,20100.313837304144,20100.313837304144,20100.313837304144,20100.313837304144,26062.0
2020-03-18,23,22755.007657490536,22755.007657490536,22755.007657490536,22755.007657490536,28710.0
2020-03-19,24,25609.38052781754,25609.38052781754,25609.38052781754,25609.38052781754,33190.0
2020-03-20,25,28657.8899348752,28657.8899348752,28657.8899348752,28657.8899348752,37860.0
2020-03-21,26,31892.261597130637,31892.261597130637,31892.261597130637,31892.261597130637,42681.0
2020-03-22,27,35301.50359995827,35301.50359995827,35301.50359995827,35301.50359995827,46638.0
