date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-02-24,0,221.0,221.0,221.0,221.0,221.0
2020-02-25,1,307.8264994446367,307.8264994446367,307.8264994446367,307.8264994446367,311.0
2020-02-26,2,422.7053633948401,422.7053633948401,422.7053633948401,422.7053633948401,385.0
2020-02-27,3,572.5579459806337,572.5579459806337,572.5579459806337,572.5579459806337,588.0
2020-02-28,4,765.3749007550481,765.3749007550481,765.3749007550481,765.3749007550481,821.0
2020-02-29,5,1010.2219212417643,1010.2219212417643,1010.2219212417643,1010.2219212417643,1049.0
2020-03-01,6,1317.2061937929523,1317.2061937929523,1317.2061937929523,1317.2061937929523,1577.0
2020-03-02,7,1697.398964384651,1697.398964384651,1697.398964384651,1697.398964384651,1835.0
2020-03-03,8,2162.711341665974,2162.711341665974,2162.711341665974,2162.711341665974,2263.0
2020-03-04,9,2725.722663500243,2725.722663500243,2725.722663500243,2725.722663500243,2706.0
2020-03-05,10,3399.4629754463003,3399.4629754463003,3399.4629754463003,3399.4629754463003,3296.0
2020-03-06,11,4197.153654882952,4197.153654882952,4197.153654882952,4197.153654882952,3916.0
2020-03-07,12,5131.912474399795,5131.912474399795,5131.912474399795,5131.912474399795,5061.0
2020-03-08,13,6216.431499681273,6216.431499681273,6216.431499681273,6216.431499681273,6387.0
2020-03-09,14,7462.637893114833,7462.637893114833,7462.637893114833,7462.637893114833,7985.0
2020-03-10,15,8881.34894242039,8881.34894242039,8881.34894242039,8881.34894242039,8514.0
2020-03-11,16,10481.933287998765,10481.933287998765,10481.933287998765,10481.933287998765,10590.0
2020-03-12,17,12271.990399994014,12271.990399994014,12271.990399994014,12271.990399994014,12839.0
2020-03-13,18,14257.059867522441,14257.059867522441,14257.059867522441,14257.059867522441,14955.0
2020-03-14,19,16440.370987069113,16440.370987069113,16440.370987069113,16440.370987069113,17750.0
2020-03-15,20,18822.641621501876,18822.641621501876,18822.641621501876,18822.641621501876,20603.0
2020-03-16,21,21401.933505741214,21401.933505741214,21401.933505741214,21401.933505741214,23073.0
2020-03-17,22,24173.56868116441,24173.56868116441,24173.56868116441,24173.56868116441,26062.0
2020-03-18,23,27130.10983083121,27130.10983083121,27130.10983083121,27130.10983083121,28710.0
2020-03-19,24,30261.40473433839,30261.40473433839,30261.40473433839,30261.40473433839,33190.0
2020-03-20,25,33554.692808130116,33554.692808130116,33554.692808130116,33554.692808130116,37860.0
2020-03-21,26,36994.76975883149,36994.76975883149,36994.76975883149,36994.76975883149,42681.0
2020-03-22,27,40564.20449722532,40564.20449722532,40564.20449722532,40564.20449722532,46638.0
2020-03-23,28,44243.601070599434,44243.601070599434,44243.601070599434,44243.601070599434,50418.0
2020-03-24,29,48011.89728552057,48011.89728552057,48011.89728552057,48011.89728552057,54030.0
2020-03-25,30,51846.691001196414,51846.691001196414,51846.691001196414,51846.691001196414,57521.0
2020-03-26,31,55724.58479249321,55724.58479249321,55724.58479249321,55724.58479249321,62013.0
2020-03-27,32,59621.53967030037,59621.53967030037,59621.53967030037,59621.53967030037,66414.0
2020-03-28,33,63513.22898902415,63513.22898902415,63513.22898902415,63513.22898902415,70065.0
2020-03-29,34,67375.38425483821,67375.38425483821,67375.38425483821,67375.38425483821,73880.0
2020-03-30,35,71184.12543728377,71184.12543728377,71184.12543728377,71184.12543728377,75528.0
2020-03-31,36,74916.26938927152,74916.26938927152,74916.26938927152,74916.26938927152,77635.0
2020-04-01,37,78549.61116919994,78549.61116919994,78549.61116919994,78549.61116919994,80572.0
2020-04-02,38,82063.17395992421,82063.17395992421,82063.17395992421,82063.17395992421,83049.0
2020-04-03,39,85437.42477574505,85437.42477574505,85437.42477574505,85437.42477574505,85388.0
2020-04-04,40,88654.454382569,88654.454382569,88654.454382569,88654.454382569,88274.0
2020-04-05,41,91698.12071827617,91698.12071827617,91698.12071827617,91698.12071827617,91246.0
2020-04-06,42,94554.1551002236,94554.1551002236,94554.1551002236,94554.1551002236,93187.0
2020-04-07,43,97210.23344492646,97210.23344492646,97210.23344492646,97210.23344492646,94067.0
2020-04-08,44,99656.01409466965,99656.01409466965,99656.01409466965,99656.01409466965,95262.0
2020-04-09,45,101883.14360436035,101883.14360436035,101883.14360436035,101883.14360436035,96877.0
2020-04-10,46,103885.23431920148,103885.23431920148,103885.23431920148,103885.23431920148,98273.0
2020-04-11,47,105657.81662928802,105657.81662928802,105657.81662928802,105657.81662928802,100269.0
2020-04-12,48,107198.26857104625,107198.26857104625,107198.26857104625,107198.26857104625,102253.0
2020-04-13,49,108505.72683659212,108505.72683659212,108505.72683659212,108505.72683659212,103616.0
2020-04-14,50,109580.98208228908,109580.98208228908,109580.98208228908,109580.98208228908,104291.0
2020-04-15,51,110426.36197391989,110426.36197391989,110426.36197391989,110426.36197391989,105418.0
2020-04-16,52,111045.60549250642,111045.60549250642,111045.60549250642,111045.60549250642,106607.0
2020-04-17,53,111443.73011965491,111443.73011965491,111443.73011965491,111443.73011965491,106962.0
2020-04-18,54,111626.89642457827,111626.89642457827,111626.89642457827,111626.89642457827,107771.0
2020-04-19,55,111602.27032864554,111602.27032864554,111602.27032864554,111602.27032864554,108257.0
2020-04-20,56,111377.88771163563,111377.88771163563,111377.88771163563,111377.88771163563,108237.0
2020-04-21,57,110962.52016630303,110962.52016630303,110962.52016630303,110962.52016630303,107709.0
2020-04-22,58,110365.54661858578,110365.54661858578,110365.54661858578,110365.54661858578,107699.0
2020-04-23,59,109596.82948539272,109596.82948539272,109596.82948539272,109596.82948539272,106848.0
2020-04-24,60,108666.59787886268,108666.59787886268,108666.59787886268,108666.59787886268,106527.0
2020-04-25,61,107585.33857757576,107585.33857757576,107585.33857757576,107585.33857757576,105847.0
2020-04-26,62,106363.69401635464,106363.69401635464,106363.69401635464,106363.69401635464,106103.0
2020-04-27,63,105012.37005908415,105012.37005908415,105012.37005908415,105012.37005908415,105813.0
2020-04-28,64,103542.05067704617,103542.05067704617,103542.05067704617,103542.05067704617,105205.0
2020-04-29,65,101963.32358150229,101963.32358150229,101963.32358150229,101963.32358150229,104657.0
2020-04-30,66,100286.61116899164,100286.61116899164,100286.61116899164,100286.61116899164,101551.0
2020-05-01,67,98522.11184135247,98522.11184135247,98522.11184135247,98522.11184135247,100943.0
2020-05-02,68,96679.75037585212,96679.75037585212,96679.75037585212,96679.75037585212,100704.0
2020-05-03,69,94769.13277899876,94769.13277899876,94769.13277899876,94769.13277899876,100179.0
2020-05-04,70,92799.5117162225,92799.5117162225,92799.5117162225,92799.5117162225,99980.0
2020-05-05,71,90779.75578875758,90779.75578875758,90779.75578875758,90779.75578875758,98467.0
2020-05-06,72,88718.32743551995,88718.32743551995,88718.32743551995,88718.32743551995,91528.0
2020-05-07,73,86623.26511284059,86623.26511284059,86623.26511284059,86623.26511284059,89624.0
2020-05-08,74,84502.17133100973,84502.17133100973,84502.17133100973,84502.17133100973,87961.0
2020-05-09,75,82362.20527267906,82362.20527267906,82362.20527267906,82362.20527267906,84842.0
2020-05-10,76,80210.07978569821,80210.07978569821,80210.07978569821,80210.07978569821,83324.0
2020-05-11,77,78052.06207284675,78052.06207284675,78052.06207284675,78052.06207284675,82488.0
2020-05-12,78,75893.97806279734,75893.97783061449,75893.97796165105,75893.97817315964,
2020-05-13,79,74080.6818925409,75837.21752831164,76193.47163880176,76551.39267533069,
2020-05-14,80,72310.56075195641,75779.8584745021,76493.36030300426,77213.5521263885,
2020-05-15,81,70582.59332139319,75721.90260768593,76793.63632485704,77880.4731356399,
2020-05-16,82,68895.78226296573,75663.35196835686,77094.29204698009,78552.17201533527,
2020-05-17,83,67249.15382686003,75604.20861392586,77395.3197333191,79228.66477378938,
2020-05-18,84,65641.75720627495,75544.47461854595,77696.711569113,79909.96710372622,
2020-05-19,85,64072.66390290358,75484.1520729056,77998.4596608628,80596.09435656281,
2020-05-20,86,62540.96672506145,75423.24308392378,78300.55603650693,81287.06156840907,
2020-05-21,87,61045.77964709413,75361.74977481057,78602.99264529023,81982.88344934223,
2020-05-22,88,59586.23717285011,75299.67428484086,78905.76135763388,82683.57436959287,
2020-05-23,89,58161.493726220884,75237.0187692184,79208.85396518331,83389.14835058301,
2020-05-24,90,56770.72425695991,75173.78539905032,79512.26218105301,84099.619053248,
2020-05-25,91,55413.123341542254,75109.97636102689,79815.97764043712,84814.99971329675,
2020-05-26,92,54087.90436153656,75045.59385731058,80119.99189961833,85535.30318829585,
2020-05-27,93,52794.29894190273,74980.64010539434,80424.29643631224,86260.54195386167,
2020-05-28,94,51531.55659674046,74915.1173379486,80728.88264975793,86990.72807861774,
2020-05-29,95,50298.94439253013,74849.027802671,81033.74186165046,87725.87321406232,
2020-05-30,96,49095.74684284674,74782.37376213436,81338.86531547704,88465.9885849965,
2020-05-31,97,47921.26535982628,74715.15749362978,81644.24417640723,89211.08500601695,
