,description,R0,Area
0,Friuli-Venezia Giulia,0.89,Area A
1,Molise,0.87,Area A
2,Abruzzo,1.0,Area C
3,Liguria,1.01,Area A
4,Umbria,0.36,Area B
5,Calabria,0.95,Area D
6,Veneto,0.81,Area B
7,Basilicata,0.77,Area B
8,Campania,0.99,Area A
9,Emilia-Romagna,0.86,Area C
10,Lazio,1.08,Area A
11,Marche,1.05,Area B
12,Lombardia,1.07,Area B
13,Piemonte,1.1,Area B
14,Puglia,1.09,Area A
15,Sicilia,0.9,Area C
16,Sardegna,0.87,Area D
17,Toscana,0.82,Area C
18,Trentino-Alto Adige,0.47,Area A
19,Valle d'Aosta,0.1,Area A
